run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch6134-seed1-7580,1,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.383,0.514,0.639,0.068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3513,0.0,,0.0,,
slurm-batch6134-seed10-7589,10,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.283,0.515,0.661,0.093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3533,0.0,,0.0,,
slurm-batch6134-seed2-7581,2,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.394,0.505,0.606,0.077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.348,0.0,,0.0,,
slurm-batch6134-seed3-7582,3,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.306,0.507,0.678,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3566,0.0,,0.0,,
slurm-batch6134-seed4-7583,4,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.272,0.51,0.633,0.071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3446,0.0,,0.0,,
slurm-batch6134-seed5-7584,5,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.333,0.511,0.567,0.072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3494,0.0,,0.0,,
slurm-batch6134-seed6-7585,6,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.35,0.512,0.672,0.098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.355,0.0,,0.0,,
slurm-batch6134-seed7-7586,7,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.389,0.505,0.589,0.068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3436,0.0,,0.0,,
slurm-batch6134-seed8-7587,8,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.339,0.511,0.661,0.081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3547,0.0,,0.0,,
slurm-batch6134-seed9-7588,9,tool,quantized_models/Qwen3.5-4B-2bit,quantized_models/Qwen3.5-4B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.289,0.52,0.606,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3542,0.0,,0.0,,
