run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch977-seed1-993,1,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,0,0,0,0,0,0,0.0,0.0,0.693,5.0,0.0,5.0,0.0,1.0,1.0,0.106878719268,1.068787,47.561030074191,0.47561
slurm-batch977-seed2-994,2,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,0,0,0,0,0,0,0.0,0.0,0.695,5.0,0.0,5.0,0.0,1.0,1.0,0.077024539978,0.770245,34.275920290182,0.342759
slurm-batch977-seed3-995,3,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,0,0,0,0,0,0,0.0,0.0,0.643,5.0,0.0,5.0,0.0,0.995,1.0,0.105288864122,1.052889,46.853544533702,0.468535
slurm-batch977-seed4-996,4,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,0,0,0,0,0,0,0.0,0.0,0.671,5.0,0.0,5.0,0.0,1.0,1.0,0.079832968717,0.79833,35.525671077915,0.355257
slurm-batch977-seed5-997,5,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,0,0,0,0,0,0,0.0,0.0,0.635,5.0,0.0,5.0,0.0,1.0,1.0,0.045973240579,0.459732,20.458092056311,0.204581
slurm-batch979-seed1-1471,1,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0,0.0,0.0,0.795,5.0,0.0,5.0,0.0,1.0,1.0,0.096850136347,0.968501,43.098310675868,0.430983
slurm-batch979-seed2-1472,2,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0,0.0,0.0,0.779,5.0,0.0,5.0,0.0,1.0,1.0,0.096448258065,0.964483,42.91947483846,0.429195
slurm-batch979-seed3-1473,3,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0,0.0,0.0,0.783,5.0,0.0,5.0,0.0,1.0,1.0,0.093393819219,0.933938,41.560249554247,0.415602
slurm-batch979-seed4-1474,4,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0,0.0,0.0,0.814,5.0,0.0,5.0,0.0,1.0,1.0,0.096260990744,0.96261,42.836140880979,0.428361
slurm-batch979-seed5-1475,5,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0,0.0,0.0,0.75,5.0,0.0,5.0,0.0,1.0,1.0,0.095300206061,0.953002,42.408591696794,0.424086
slurm-batch980-seed1-1965,1,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0,0.0,0.0,0.874,5.0,0.0,5.0,0.0,1.0,1.0,0.106216267891,1.062163,47.2662392117,0.472662
slurm-batch980-seed2-1966,2,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0,0.0,0.0,0.859,5.0,0.0,5.0,0.0,0.999,1.0,0.106835387387,1.068354,47.541747385929,0.475417
slurm-batch980-seed3-1967,3,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0,0.0,0.0,0.865,5.0,0.0,5.0,0.0,1.0,1.0,0.105978034976,1.05978,47.160225564902,0.471602
slurm-batch980-seed4-1968,4,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0,0.0,0.0,0.868,5.0,0.0,5.0,0.0,1.0,1.0,0.104741814399,1.047418,46.61010740962,0.466101
slurm-batch980-seed5-1969,5,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0,0.0,0.0,0.842,5.0,0.0,5.0,0.0,1.0,1.0,0.103230918439,1.032309,19.778308948687,0.197783
slurm-batch985-seed1-3472,1,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,7,0,0,0,0,3,0.07,0.021,0.974,1.89,0.2,2.09,0.052,1.0,0.93,0.083052070478,0.830521,36.958171361139,0.369582
slurm-batch985-seed2-3473,2,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,1,1,1,0,0,0,0.01,0.004,0.97,1.88,0.26,2.14,0.031,1.0,0.98,0.079609386008,0.796094,35.426176770571,0.354262
slurm-batch985-seed3-3474,3,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,2,0,0,0,0,2,0.02,0.009,0.972,1.73,0.24,1.97,0.071,1.0,0.98,0.115537269518,1.155373,51.414084933892,0.514141
slurm-batch985-seed4-3475,4,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,3,0,0,0,0,2,0.03,0.011,0.968,1.79,0.26,2.05,0.089,1.0,0.97,0.118201784686,1.182018,52.599794183313,0.525998
