run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch4596-r2-seed2-5489,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,62,62,55,55,0,0,4,0.62,0.122,0.998,0.593,0.554,0.456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.18,3.76,7.94,0.668,0.998,0.91,0.2554,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batchrerun-runs_llama1_llama_set_gLlama-3.1-8B-Instruct_sLlama-3.1-8B-Instruct_2026-05-15_083258-r1-20260516112516-seed1-2526,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,62,62,46,46,0,0,5,0.62,0.1,0.999,0.596,0.552,0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25,3.93,8.18,0.664,0.999,0.84,0.258,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch4594-r3-seed1-5263,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,98,98,9,9,0,0,66,0.98,0.368,1.0,0.573,0.574,0.514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,2.11,4.36,0.313,1.0,0.11,0.2502,0.105934375539,1.059344,47.140797112001,0.471408,
slurm-batch4595-r2-seed1-5361,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,90,90,29,29,0,0,39,0.9,0.266,0.997,0.58,0.583,0.554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.32,2.89,6.21,0.494,0.996,0.37,0.2616,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch4590-r3-seed2-4870,2,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,7,7,5,5,0,0,1,0.07,0.027,0.994,0.561,0.415,0.321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.5,1.1,0.092,1.0,0.98,0.2463,0.066307925351,0.663079,29.507026782483,0.29507,
slurm-batch4588-seed1-4597,1,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,20,20,2,2,0,0,12,0.2,0.076,0.98,0.566,0.413,0.523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.55,1.1,0.086,1.0,0.82,0.2393,0.055373314522,0.553733,7.935019228068,0.07935,
slurm-batch4588-seed2-4626,2,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,23,23,2,2,0,0,12,0.23,0.087,0.994,0.562,0.424,0.496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52,0.41,0.93,0.077,1.0,0.79,0.2413,0.052707118318,0.527071,7.552952191652,0.07553,
slurm-batch4589-r2-seed1-4719,1,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,11,11,3,2,1,0,4,0.11,0.054,0.985,0.563,0.387,0.463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27,0.2,0.47,0.055,0.998,0.92,0.2306,0.049494299514,0.494943,7.092553907362,0.070926,
slurm-batch4589-r2-seed2-4746,2,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,19,19,3,2,1,0,13,0.19,0.087,0.998,0.567,0.416,0.455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.59,0.45,1.04,0.077,1.0,0.84,0.2322,0.05137758092,0.513776,14.468672942867,0.144687,
slurm-batch4589-r2-seed3-4755,3,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,12,12,3,2,1,0,9,0.12,0.061,0.991,0.563,0.405,0.463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.31,0.71,0.063,1.0,0.91,0.2519,0.048944279237,0.489443,21.780204263247,0.217802,
slurm-batch4589-r2-seed4-4779,4,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,17,17,0,0,0,0,12,0.17,0.103,0.992,0.563,0.419,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.8,0.05,1.0,0.83,0.2326,0.05429452223,0.542945,24.161062392298,0.241611,
slurm-batch4593-r2-seed3-5095,3,tool,meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,9,9,2,2,0,0,5,0.09,0.017,1.0,0.573,0.56,0.517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.02,0.05,0.26,1.0,0.93,0.245,0.105934375539,1.059344,47.140797112001,0.471408,
