run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch7215-seed1-8731,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,66,66,48,46,2,0,7,0.66,0.108,1.0,0.599,0.549,0.478,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.39,3.17,7.56,0.662,1.0,0.82,0.2607,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7215-seed2-8787,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,66,66,56,55,1,0,4,0.66,0.123,1.0,0.598,0.559,0.458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.21,2.98,7.19,0.708,1.0,0.9,0.2589,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7215-seed3-8808,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,61,61,49,47,2,0,5,0.61,0.104,0.997,0.603,0.547,0.465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,2.93,7.43,0.658,0.999,0.88,0.2594,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7215-seed4-8854,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,59,59,44,42,2,0,4,0.59,0.103,0.993,0.599,0.544,0.475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51,3.31,7.82,0.648,1.0,0.85,0.2556,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7215-seed5-8886,5,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,65,65,56,55,1,0,6,0.65,0.122,1.0,0.6,0.576,0.473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.37,2.84,7.21,0.703,1.0,0.89,0.2616,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7213-seed1-7776,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,96,96,10,10,0,0,64,0.96,0.333,0.996,0.572,0.555,0.515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.56,2.32,4.88,0.312,1.0,0.14,0.2571,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7213-seed2-7834,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,98,98,8,8,0,0,72,0.98,0.372,0.999,0.571,0.563,0.474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.26,4.36,0.281,1.0,0.1,0.2489,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7213-seed3-7876,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,98,98,6,6,0,0,66,0.98,0.384,0.996,0.569,0.573,0.511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.94,2.49,4.43,0.289,1.0,0.08,0.2527,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7213-seed4-7988,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,97,97,6,6,0,0,71,0.97,0.377,0.999,0.567,0.556,0.518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.91,2.36,4.27,0.246,1.0,0.09,0.2527,0.104228252723,1.042283,46.38157246112,0.463816,
slurm-batch7213-seed5-8234,5,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,97,97,10,9,1,0,69,0.97,0.35,1.0,0.571,0.54,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.35,2.1,4.45,0.313,1.0,0.13,0.2468,0.104228252723,1.042283,46.38157246112,0.463816,
