run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch7913-seed1-8187,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,3,2,1,0,1,0.667,0.539,0.919,0.624,0.721,0.359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.889,1.222,3.111,0.564,1.0,0.667,0.2248,0.0,,0.0,,
slurm-batch7913-seed10-8196,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,5,5,3,2,1,1,0,0.556,0.339,0.933,0.653,0.57,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.889,1.111,4.0,0.494,1.0,0.778,0.2527,0.0,,0.0,,
slurm-batch7913-seed2-8188,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0,0,0,1,4,0.778,0.644,0.973,0.641,0.708,0.409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.111,2.111,0.406,1.0,0.222,0.2506,0.0,,0.0,,
slurm-batch7913-seed3-8189,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,1,1,0,0,3,0.667,0.461,0.994,0.626,0.589,0.359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.444,0.556,3.0,0.365,1.0,0.444,0.2341,0.0,,0.0,,
slurm-batch7913-seed4-8190,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,1,1,0,1,1,0.667,0.406,0.941,0.648,0.654,0.323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.222,0.111,3.333,0.443,1.0,0.444,0.2553,0.0,,0.0,,
slurm-batch7913-seed5-8191,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,2,2,0,0,1,0.778,0.706,0.921,0.659,0.675,0.403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.111,0.222,2.333,0.465,1.0,0.444,0.2604,0.0,,0.0,,
slurm-batch7913-seed6-8192,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,4,4,2,2,0,0,1,0.444,0.428,0.981,0.641,0.609,0.293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.556,1.889,4.444,0.392,1.0,0.778,0.214,0.0,,0.0,,
slurm-batch7913-seed7-8193,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,1,1,0,1,1,0.778,0.622,0.963,0.651,0.724,0.366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.222,2.222,0.324,1.0,0.333,0.2386,0.0,,0.0,,
slurm-batch7913-seed8-8194,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,1,1,0,0,3,0.889,0.739,0.968,0.625,0.83,0.348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.667,0.667,2.333,0.4,1.0,0.222,0.2245,0.0,,0.0,,
slurm-batch7913-seed9-8195,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,1,1,0,0,2,0.667,0.45,0.975,0.631,0.716,0.404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.889,1.333,4.222,0.471,1.0,0.444,0.2292,0.0,,0.0,,
slurm-batch7914-seed1-8220,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,6,6,2,2,0,0,1,0.667,0.489,0.994,0.631,0.631,0.194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.333,2.333,5.667,0.434,1.0,0.556,0.2396,0.0,,0.0,,
slurm-batch7914-seed10-8229,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,3,3,1,1,0,0,0,0.333,0.189,1.0,0.655,0.421,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.111,0.778,4.889,0.327,1.0,0.778,0.2395,0.0,,0.0,,
slurm-batch7914-seed2-8221,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,3,3,3,3,0,0,0,0.333,0.239,1.0,0.671,0.523,0.266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.444,0.111,4.556,0.591,0.994,0.778,0.2423,0.0,,0.0,,
slurm-batch7914-seed3-8222,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,4,4,4,3,1,0,0,0.444,0.222,1.0,0.648,0.513,0.217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.111,5.111,0.639,0.994,0.778,0.2523,0.0,,0.0,,
slurm-batch7914-seed4-8223,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,0,0,0,0,1,0.111,0.111,0.989,0.657,0.443,0.373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.111,1.778,4.889,0.321,1.0,0.889,0.235,0.0,,0.0,,
slurm-batch7914-seed5-8224,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,2,2,3,3,0,0,0,0.222,0.094,1.0,0.651,0.439,0.357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.667,1.222,4.889,0.579,0.983,0.889,0.2084,0.0,,0.0,,
slurm-batch7914-seed6-8225,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,4,4,3,3,0,0,1,0.444,0.233,0.983,0.653,0.493,0.272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.778,1.222,4.0,0.492,1.0,0.889,0.2121,0.0,,0.0,,
slurm-batch7914-seed7-8226,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,2,2,3,3,0,0,0,0.222,0.167,0.994,0.677,0.537,0.387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.667,1.556,6.222,0.625,0.989,0.889,0.2642,0.0,,0.0,,
slurm-batch7914-seed8-8227,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,4,4,2,2,0,0,1,0.444,0.233,1.0,0.691,0.411,0.253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.556,2.111,5.667,0.475,1.0,0.778,0.2085,0.0,,0.0,,
slurm-batch7914-seed9-8228,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,4,4,4,4,0,0,0,0.444,0.306,1.0,0.651,0.622,0.201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.222,1.0,5.222,0.564,0.994,0.778,0.2442,0.0,,0.0,,
slurm-batch7915-seed1-8303,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,2,1,1,0,0,0.222,0.067,0.939,0.68,0.433,0.325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.444,1.222,4.667,0.546,0.989,1.0,0.2479,0.0,,0.0,,
slurm-batch7915-seed10-8312,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,4,4,4,2,2,1,0,0.444,0.228,0.958,0.656,0.55,0.346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.778,0.556,3.333,0.592,1.0,1.0,0.2415,0.0,,0.0,,
slurm-batch7915-seed2-8304,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,2,2,0,1,0,0.222,0.167,0.967,0.631,0.536,0.232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.889,2.0,4.889,0.429,1.0,1.0,0.257,0.0,,0.0,,
slurm-batch7915-seed3-8305,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,4,4,4,4,0,0,0,0.444,0.278,0.989,0.672,0.561,0.248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.222,0.444,3.667,0.642,1.0,1.0,0.2375,0.0,,0.0,,
slurm-batch7915-seed4-8306,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,3,1,2,0,0,0.333,0.111,0.954,0.663,0.44,0.331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.889,0.889,4.778,0.662,1.0,1.0,0.2594,0.0,,0.0,,
slurm-batch7915-seed5-8307,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,2,2,0,0,0,0.222,0.117,0.994,0.679,0.414,0.381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,0.596,1.0,1.0,0.2197,0.0,,0.0,,
slurm-batch7915-seed6-8308,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,2,2,0,0,0,0.333,0.25,1.0,0.66,0.539,0.349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.333,1.556,4.889,0.588,1.0,0.889,0.2296,0.0,,0.0,,
slurm-batch7915-seed7-8309,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,2,1,1,0,0,0.222,0.117,0.959,0.679,0.45,0.188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.778,0.889,4.667,0.51,1.0,1.0,0.2327,0.0,,0.0,,
slurm-batch7915-seed8-8310,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,3,2,1,0,0,0.333,0.25,0.981,0.66,0.567,0.298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.556,0.111,3.667,0.668,1.0,1.0,0.2521,0.0,,0.0,,
slurm-batch7915-seed9-8311,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,3,3,0,0,0,0.333,0.161,0.994,0.659,0.477,0.319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.222,0.556,3.778,0.532,1.0,1.0,0.2429,0.0,,0.0,,
slurm-batch7912-seed1-8115,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,4,4,3,3,0,0,0,0.444,0.306,1.0,0.617,0.445,0.226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.778,2.222,5.0,0.472,1.0,0.889,0.2164,0.0,,0.0,,
slurm-batch7912-seed10-8124,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,5,5,4,3,1,2,0,0.556,0.344,0.989,0.657,0.563,0.301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.222,0.778,4.0,0.567,1.0,0.889,0.2358,0.0,,0.0,,
