run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch7756-seed1-7772,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,66,66,48,47,1,0,5,0.66,0.497,0.977,0.62,0.817,0.603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.09,0.41,4.5,0.689,0.999,0.82,0.2725,0.0,,0.0,,
slurm-batch7756-seed2-7785,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,67,67,46,45,1,0,8,0.67,0.492,0.979,0.619,0.821,0.608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,0.39,4.59,0.665,0.998,0.79,0.2702,0.0,,0.0,,
slurm-batch7756-seed3-7812,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,65,65,45,44,1,0,5,0.65,0.5,0.976,0.621,0.823,0.599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.37,4.67,0.656,1.0,0.8,0.277,0.0,,0.0,,
slurm-batch7756-seed4-7828,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,62,62,49,48,1,0,5,0.62,0.457,0.975,0.617,0.822,0.585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.06,0.42,4.48,0.659,1.0,0.87,0.2732,0.0,,0.0,,
slurm-batch7756-seed5-7839,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,71,71,49,48,1,0,7,0.71,0.516,0.978,0.621,0.813,0.621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25,0.36,4.61,0.69,1.0,0.78,0.2757,0.0,,0.0,,
slurm-batch7758-seed1-7978,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,56,56,56,55,1,0,0,0.56,0.403,0.979,0.618,0.796,0.564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.37,0.6,4.97,0.726,0.999,1.0,0.2729,0.0,,0.0,,
slurm-batch7758-seed2-7990,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,56,56,56,55,1,0,1,0.56,0.407,0.972,0.619,0.772,0.562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,0.6,5.0,0.734,0.996,0.96,0.2711,0.0,,0.0,,
slurm-batch7758-seed3-8003,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,60,60,60,59,1,0,0,0.6,0.431,0.98,0.619,0.781,0.575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.57,0.59,5.16,0.768,0.998,1.0,0.2721,0.0,,0.0,,
slurm-batch7758-seed4-8012,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,52,52,52,51,1,0,0,0.52,0.367,0.978,0.617,0.783,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.42,0.67,5.09,0.721,0.997,1.0,0.2772,0.0,,0.0,,
slurm-batch7758-seed5-8028,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,52,52,53,52,1,0,0,0.52,0.389,0.977,0.618,0.788,0.563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.54,4.99,0.731,0.998,0.99,0.2742,0.0,,0.0,,
slurm-batch7757-seed1-7856,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,55,55,55,54,1,0,2,0.55,0.385,1.0,0.618,0.789,0.598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.56,0.57,5.13,0.724,0.996,0.96,0.2771,0.0,,0.0,,
slurm-batch7757-seed2-7879,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,52,52,52,51,1,0,1,0.52,0.377,1.0,0.621,0.774,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.49,0.52,5.01,0.707,0.993,0.98,0.2663,0.0,,0.0,,
slurm-batch7757-seed3-7904,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,49,49,50,49,1,0,1,0.49,0.363,1.0,0.617,0.776,0.567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.38,0.62,5.0,0.7,0.999,0.97,0.2781,0.0,,0.0,,
slurm-batch7757-seed4-7927,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,55,55,56,56,0,0,1,0.55,0.403,0.999,0.617,0.799,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.49,5.03,0.724,0.997,0.97,0.2751,0.0,,0.0,,
slurm-batch7757-seed5-7953,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,50,50,49,49,0,0,0,0.5,0.36,0.999,0.619,0.789,0.567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.67,5.21,0.705,0.996,0.95,0.2765,0.0,,0.0,,
slurm-batch7759-seed1-8043,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,53,53,54,54,0,0,0,0.53,0.39,0.978,0.617,0.778,0.615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.48,0.44,4.92,0.729,0.996,0.99,0.2765,0.0,,0.0,,
slurm-batch7759-seed2-8077,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,54,54,55,55,0,0,0,0.54,0.395,0.978,0.616,0.778,0.613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.6,5.14,0.744,0.998,0.99,0.2758,0.0,,0.0,,
slurm-batch7759-seed3-8113,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,53,53,54,54,0,0,0,0.53,0.39,0.973,0.617,0.792,0.605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63,0.47,5.1,0.734,0.998,0.99,0.2805,0.0,,0.0,,
