method,threshold,precision,recall,f1,tp,fp,fn,tn
A_minilm__sim,-0.0320,0.2857,1.0000,0.4444,10,25,0,0
A_minilm__sim,0.0201,0.2941,1.0000,0.4545,10,24,0,1
A_minilm__sim,0.0722,0.2941,1.0000,0.4545,10,24,0,1
A_minilm__sim,0.1243,0.2941,1.0000,0.4545,10,24,0,1
A_minilm__sim,0.1764,0.2941,1.0000,0.4545,10,24,0,1
A_minilm__sim,0.2285,0.3030,1.0000,0.4651,10,23,0,2
A_minilm__sim,0.2806,0.3226,1.0000,0.4878,10,21,0,4
A_minilm__sim,0.3327,0.3333,1.0000,0.5000,10,20,0,5
A_minilm__sim,0.3848,0.3333,1.0000,0.5000,10,20,0,5
A_minilm__sim,0.4369,0.3448,1.0000,0.5128,10,19,0,6
A_minilm__sim,0.4890,0.4000,1.0000,0.5714,10,15,0,10
A_minilm__sim,0.5411,0.4545,1.0000,0.6250,10,12,0,13
A_minilm__sim,0.5932,0.5556,1.0000,0.7143,10,8,0,17
A_minilm__sim,0.6453,0.7143,1.0000,0.8333,10,4,0,21
A_minilm__sim,0.6974,0.7692,1.0000,0.8696,10,3,0,22
A_minilm__sim,0.7495,1.0000,0.8000,0.8889,8,0,2,25
A_minilm__sim,0.8016,1.0000,0.7000,0.8235,7,0,3,25
A_minilm__sim,0.8537,1.0000,0.5000,0.6667,5,0,5,25
A_minilm__sim,0.9058,1.0000,0.4000,0.5714,4,0,6,25
A_minilm__sim,0.9579,1.0000,0.4000,0.5714,4,0,6,25
A_minilm__sim,1.0100,0.0000,0.0000,0.0000,0,0,10,25
A_minilm__sim+struct,0.4997,0.7143,1.0000,0.8333,10,4,0,21
A_minilm__sim+struct,0.5252,0.7692,1.0000,0.8696,10,3,0,22
A_minilm__sim+struct,0.5507,0.7692,1.0000,0.8696,10,3,0,22
A_minilm__sim+struct,0.5762,0.7692,1.0000,0.8696,10,3,0,22
A_minilm__sim+struct,0.6017,0.8333,1.0000,0.9091,10,2,0,23
A_minilm__sim+struct,0.6273,0.9091,1.0000,0.9524,10,1,0,24
A_minilm__sim+struct,0.6528,0.9091,1.0000,0.9524,10,1,0,24
A_minilm__sim+struct,0.6783,1.0000,1.0000,1.0000,10,0,0,25
A_minilm__sim+struct,0.7038,1.0000,1.0000,1.0000,10,0,0,25
A_minilm__sim+struct,0.7293,1.0000,0.8000,0.8889,8,0,2,25
A_minilm__sim+struct,0.7548,1.0000,0.8000,0.8889,8,0,2,25
A_minilm__sim+struct,0.7804,1.0000,0.7000,0.8235,7,0,3,25
A_minilm__sim+struct,0.8059,1.0000,0.7000,0.8235,7,0,3,25
A_minilm__sim+struct,0.8314,1.0000,0.6000,0.7500,6,0,4,25
A_minilm__sim+struct,0.8569,1.0000,0.5000,0.6667,5,0,5,25
A_minilm__sim+struct,0.8824,1.0000,0.5000,0.6667,5,0,5,25
