run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch7371-seed1-7381,1,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,3,1,1,0,2,0.03,0.026,0.528,2.36,4.56,6.92,0.01,0.98,0.342490742796,3.424907,75.971270106893,0.759713
slurm-batch7371-seed2-7382,2,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,4,1,1,0,3,0.04,0.034,0.507,2.33,4.67,7.0,0.011,0.97,0.343874504107,3.438745,49.277360865141,0.492774
slurm-batch7371-seed3-7383,3,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,3,1,1,0,2,0.03,0.024,0.479,2.29,4.64,6.93,0.01,0.98,0.31950480741,3.195048,45.78517309446,0.457852
slurm-batch7371-seed4-7384,4,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,4,0,0,0,4,0.04,0.036,0.511,2.57,4.62,7.19,0.001,0.96,0.361326068526,3.613261,51.778177377133,0.517782
slurm-batch7371-seed5-7385,5,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,3,2,2,0,1,0.03,0.025,0.53,2.41,4.46,6.87,0.02,0.99,0.332662221959,3.326622,47.670636124207,0.476706
slurm-batch7372-seed1-7683,1,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,1,1,1,0,0,0.01,0.009,0.718,2.81,4.76,7.57,0.011,1.0,0.310667548549,3.106675,54.547028594008,0.54547
slurm-batch7372-seed2-7684,2,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,1,1,1,0,0,0.01,0.006,0.736,2.6,4.85,7.45,0.01,1.0,0.338553135925,3.385531,67.534855412757,0.675349
slurm-batch7372-seed3-7685,3,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,2,2,2,0,0,0.02,0.016,0.703,2.53,4.75,7.28,0.019,1.0,0.329474972205,3.29475,62.313328883944,0.623133
slurm-batch7372-seed4-7686,4,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,2,2,2,0,0,0.02,0.013,0.793,2.91,4.66,7.57,0.019,1.0,0.288844767425,2.888448,50.122508731509,0.501225
slurm-batch7372-seed5-7687,5,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0.0,0.0,0.771,2.78,4.8,7.58,0.003,1.0,0.187278953557,1.87279,62.253802400647,0.622538
slurm-batch7373-seed1-7752,1,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,3,3,3,0,0,0.03,0.02,0.952,2.47,4.74,7.21,0.029,1.0,0.201347390376,2.013474,89.599588718759,0.895996
slurm-batch7373-seed2-7753,2,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,1,1,1,0,0,0.01,0.007,0.96,2.48,4.71,7.19,0.011,1.0,0.342635805083,3.426358,152.472933263241,1.524729
slurm-batch7373-seed3-7754,3,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,1,1,1,0,0,0.01,0.004,0.951,2.66,4.85,7.51,0.01,1.0,0.361349887423,3.613499,160.80069990383,1.608007
slurm-batch7373-seed4-7755,4,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,1,1,1,0,0,0.01,0.006,0.953,2.58,4.7,7.28,0.01,1.0,0.308901166199,3.089012,137.461018959823,1.37461
slurm-batch7373-seed5-7756,5,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,2,2,2,0,0,0.02,0.016,0.935,2.06,4.72,6.78,0.019,1.0,0.310315935049,3.103159,138.090591098077,1.380906
slurm-batch7374-seed1-7758,1,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,38,5,5,0,37,0.38,0.18,0.997,2.02,1.59,3.61,0.072,0.59,0.086349974948,0.8635,38.425738849711,0.384257
slurm-batch7374-seed2-7759,2,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,41,4,4,0,39,0.41,0.214,0.998,1.85,1.42,3.27,0.071,0.59,0.144832706512,1.448327,64.4505543977,0.644506
slurm-batch7374-seed3-7760,3,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,46,3,3,0,43,0.46,0.209,0.999,1.85,1.48,3.33,0.048,0.57,0.145590503831,1.455905,64.787774203143,0.647878
slurm-batch7374-seed4-7761,4,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,40,4,4,0,38,0.4,0.212,0.997,1.75,1.44,3.19,0.065,0.6,0.13462818697,1.346282,59.909543202782,0.599095
slurm-batch7374-seed5-7762,5,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,41,6,6,0,38,0.41,0.201,1.0,1.9,1.54,3.44,0.073,0.59,0.134320482679,1.343205,59.772614789836,0.597726
slurm-batch7375-seed1-7765,1,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,27,26,26,0,2,0.27,0.059,0.998,3.12,2.59,5.71,0.283,0.97,0.126045904999,1.260459,56.090427725162,0.560904
slurm-batch7375-seed2-7766,2,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,40,36,36,0,7,0.4,0.084,1.0,2.98,2.3,5.28,0.361,0.9,0.187605946472,1.876059,83.484646177977,0.834846
slurm-batch7375-seed3-7767,3,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,28,25,25,0,3,0.28,0.048,0.998,3.18,2.59,5.77,0.267,0.97,0.196244100977,1.962441,87.328624935227,0.873286
slurm-batch7375-seed4-7768,4,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,18,18,18,0,2,0.18,0.04,0.998,3.07,2.6,5.67,0.208,0.96,0.184597884116,1.845979,82.14605842924,0.821461
slurm-batch7375-seed5-7769,5,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,35,32,32,0,3,0.35,0.07,0.997,3.08,2.52,5.6,0.342,0.97,0.175181899802,1.751819,77.955945412143,0.779559
slurm-batch7376-seed1-7775,1,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,27,28,28,0,1,0.27,0.059,1.0,3.11,2.61,5.72,0.31,0.97,0.204451161573,2.044512,90.98076690009,0.909808
slurm-batch7376-seed2-7776,2,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,25,28,28,0,1,0.25,0.053,1.0,3.07,2.48,5.55,0.3,0.95,0.201401201155,2.014012,89.623534513466,0.896235
slurm-batch7376-seed3-7777,3,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,27,30,30,0,1,0.27,0.07,1.0,3.15,2.49,5.64,0.318,0.95,0.145261635182,1.452616,64.641427657003,0.646414
slurm-batch7376-seed4-7778,4,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,31,32,32,0,0,0.31,0.062,1.0,3.09,2.55,5.64,0.332,0.99,0.133742740567,1.337427,59.515519552214,0.595155
slurm-batch7376-seed5-7779,5,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,27,29,29,0,2,0.27,0.049,1.0,3.18,2.59,5.77,0.309,0.94,0.184878405843,1.848784,82.270890598683,0.822709
slurm-batch7377-seed1-7789,1,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,37,2,2,0,36,0.37,0.085,0.972,0.91,0.63,1.54,0.041,0.63,0.180055849883,1.800558,80.12485320087,0.801249
slurm-batch7377-seed2-7790,2,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,44,1,1,0,44,0.44,0.108,0.98,0.81,0.61,1.42,0.027,0.55,0.169605928271,1.696059,75.47463808182,0.754746
slurm-batch7377-seed3-7791,3,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,49,1,1,0,48,0.49,0.124,0.989,0.81,0.65,1.46,0.034,0.52,0.088887890627,0.888879,39.555111328752,0.395551
slurm-batch7377-seed4-7792,4,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,47,1,1,0,46,0.47,0.099,0.982,0.88,0.58,1.46,0.015,0.54,0.082209281547,0.822093,36.583130288804,0.365831
slurm-batch7377-seed5-7793,5,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,55,2,2,0,54,0.55,0.124,0.979,0.83,0.6,1.43,0.027,0.45,0.15841297294,1.58413,70.493772957478,0.704938
slurm-batch7378-seed1-7795,1,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,5,7,7,0,1,0.05,0.001,0.998,1.33,0.69,2.02,0.067,0.96,0.109432744725,1.094327,48.697571402778,0.486976
slurm-batch7378-seed2-7796,2,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,6,4,4,0,3,0.06,0.002,0.998,1.35,0.72,2.07,0.05,0.96,0.188432324458,1.884323,83.852384382151,0.838524
slurm-batch7378-seed3-7797,3,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,5,3,3,0,2,0.05,0.005,0.996,1.27,0.66,1.93,0.037,0.98,0.185744852113,1.857449,82.656459191266,0.826565
slurm-batch7378-seed4-7798,4,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,4,5,5,0,1,0.04,0.003,0.996,1.25,0.69,1.94,0.058,0.97,0.185851598167,1.858516,82.703961184422,0.82704
slurm-batch7378-seed5-7799,5,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,3,3,3,0,1,0.03,0.003,0.995,1.07,0.59,1.66,0.045,0.98,0.173469414198,1.734694,77.19388931945,0.771939
slurm-batch7379-seed1-7893,1,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,2,1,1,0,1,0.02,0.004,1.0,1.18,0.65,1.83,0.026,0.99,0.209477513884,2.094775,93.217493679502,0.932175
slurm-batch7379-seed2-7894,2,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,2,3,3,0,0,0.02,0.0,1.0,1.24,0.62,1.86,0.036,0.99,0.191860083796,1.918601,85.377737289299,0.853777
slurm-batch7379-seed3-7895,3,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,2,3,3,0,0,0.02,0.003,1.0,1.26,0.63,1.89,0.028,0.99,0.194094033476,1.94094,86.371844897358,0.863718
slurm-batch7379-seed4-7896,4,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,3,4,4,0,1,0.03,0.001,1.0,1.26,0.68,1.94,0.054,0.97,0.184617104313,1.846171,82.154611418602,0.821546
slurm-batch7379-seed5-7897,5,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,5,6,6,0,0,0.05,0.005,1.0,1.28,0.66,1.94,0.065,0.99,0.116373885657,1.163739,51.786379115303,0.517864
