run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch8097-r1-seed3-8133,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,45,24,24,0,23,0.45,0.282,0.949,4.25,4.06,8.31,0.241,0.75,0.832837908181,8.328379,119.346022034205,1.19346
slurm-batch8097-r2-seed2-8138,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,35,24,24,0,14,0.35,0.205,0.968,4.32,4.39,8.71,0.262,0.85,0.936537229197,9.365372,134.206178289922,1.342062
slurm-batch8097-seed1-8106,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,47,30,30,0,19,0.47,0.27,0.93,4.49,4.19,8.68,0.313,0.79,0.919579424122,9.195794,299.504722695305,2.995047
slurm-batch8097-seed4-8109,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,32,15,15,0,17,0.32,0.191,0.971,4.48,4.37,8.85,0.191,0.83,0.490466152658,4.904662,218.257437930596,2.182574
slurm-batch8097-seed5-8110,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,40,20,20,0,23,0.4,0.241,0.947,4.62,4.49,9.11,0.233,0.74,0.901956262608,9.019563,285.667301467313,2.856673
slurm-batch8098-r1-seed1-8227,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,27,21,21,0,11,0.27,0.152,0.98,4.58,4.61,9.19,0.206,0.84,1.056169364903,10.561694,398.32031748401,3.983203
slurm-batch8098-r1-seed2-8228,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,33,29,29,0,10,0.33,0.178,0.99,4.54,4.45,8.99,0.276,0.84,1.031546226119,10.315462,386.558611881805,3.865586
slurm-batch8098-r1-seed4-8229,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,34,25,25,0,13,0.34,0.189,0.977,4.47,4.48,8.95,0.251,0.85,0.966985179278,9.669852,358.183962719148,3.58184
slurm-batch8098-r1-seed5-8230,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,32,21,21,0,12,0.32,0.187,0.975,4.36,4.29,8.65,0.251,0.87,0.957065307781,9.570653,355.611950073852,3.55612
slurm-batch8098-seed3-8178,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,32,17,17,0,16,0.32,0.181,0.975,4.58,4.57,9.15,0.23,0.85,1.015121244912,10.151212,145.467300746896,1.454673
slurm-batch8099-r1-seed3-8505,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,33,16,16,0,21,0.33,0.167,0.965,4.59,4.76,9.35,0.216,0.77,1.048142586299,10.481426,201.585005896215,2.01585
slurm-batch8099-r1-seed5-8506,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,35,21,21,0,17,0.35,0.181,0.975,4.61,4.72,9.33,0.226,0.82,1.032013963293,10.32014,190.790174060587,1.907902
slurm-batch8099-seed1-8385,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,38,31,31,0,17,0.38,0.182,0.983,4.63,4.3,8.93,0.286,0.75,0.991729171212,9.917292,441.319481190464,4.413195
slurm-batch8099-seed2-8386,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,39,24,24,0,17,0.39,0.206,0.964,4.61,4.43,9.04,0.275,0.83,0.990887506337,9.908875,440.944940320688,4.409449
slurm-batch8099-seed4-8388,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,31,21,21,0,11,0.31,0.172,0.971,4.77,4.67,9.44,0.234,0.88,1.022655150918,10.226552,455.081542157709,4.550815
slurm-batch8100-seed1-8548,1,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,74,34,34,0,41,0.74,0.206,0.998,3.33,4.29,7.62,0.338,0.58,0.511801655394,5.118017,74.48320895249,0.744832
