run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch7928-seed1-8112,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,44,38,38,0,12,0.44,0.061,1.0,3.77,2.63,6.4,0.398,0.82,0.270845257735,2.708453,120.526139691709,1.205261
slurm-batch7928-seed2-8113,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,43,37,37,0,11,0.43,0.063,1.0,3.87,2.45,6.32,0.393,0.84,0.269485986395,2.69486,119.92126394325,1.199213
slurm-batch7928-seed3-8114,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,44,40,40,0,12,0.44,0.072,1.0,3.99,2.7,6.69,0.413,0.8,0.272960947759,2.729609,40.795719654445,0.407957
slurm-batch7928-seed4-8115,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,47,46,46,0,8,0.47,0.071,1.0,3.94,2.43,6.37,0.445,0.85,0.19163786679,1.916379,27.461786799221,0.274618
slurm-batch7928-seed5-8116,5,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,41,39,39,0,9,0.41,0.057,1.0,3.8,2.52,6.32,0.392,0.84,0.282631778361,2.826318,40.501252545016,0.405013
slurm-batch7926-r1-seed2-8071,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,95,4,4,0,91,0.95,0.319,1.0,2.06,1.59,3.65,0.057,0.09,0.152240692414,1.522407,67.747108124976,0.677471
slurm-batch7926-seed1-8061,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,97,7,7,0,90,0.97,0.329,1.0,1.95,1.7,3.65,0.078,0.1,0.154504042373,1.54504,68.754298856065,0.687543
slurm-batch7926-seed3-8063,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,93,5,5,0,88,0.93,0.309,1.0,2.18,1.58,3.76,0.085,0.12,0.168498521774,1.684985,74.981842187861,0.749818
slurm-batch7926-seed4-8064,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,95,11,11,0,84,0.95,0.309,1.0,2.25,1.76,4.01,0.12,0.16,0.16709671373,1.670967,74.358037608494,0.74358
slurm-batch7926-seed5-8065,5,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,93,6,6,0,88,0.93,0.291,0.999,2.11,1.73,3.84,0.075,0.13,0.16106671473,1.610667,71.674688053769,0.716747
slurm-batch7927-seed1-8079,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,83,23,23,0,61,0.83,0.189,1.0,3.21,2.34,5.55,0.245,0.4,0.217751326524,2.177513,96.899340301279,0.968993
slurm-batch7927-seed2-8080,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,83,25,25,0,60,0.83,0.214,1.0,3.22,2.3,5.52,0.252,0.38,0.214523703105,2.145237,95.463047882413,0.95463
slurm-batch7927-seed3-8081,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,80,28,28,0,53,0.8,0.173,1.0,3.24,2.33,5.57,0.29,0.46,0.237818710478,2.378187,105.829326159511,1.058293
slurm-batch7927-seed4-8082,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,80,25,25,0,57,0.8,0.174,1.0,3.31,2.42,5.73,0.271,0.43,0.166348146505,1.663481,74.024925195798,0.740249
