run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch3519-seed1-3535,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,69,36,36,0,36,0.69,0.263,0.998,3.5,0.98,4.48,0.392,0.63,0.111233518576,1.112335,49.498915767503,0.494989
slurm-batch3519-seed2-3536,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,63,37,37,0,27,0.63,0.275,0.999,3.49,0.97,4.46,0.402,0.72,0.107968987104,1.07969,48.046199262067,0.480462
slurm-batch3519-seed3-3537,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,68,47,47,0,24,0.68,0.284,0.998,3.58,0.91,4.49,0.503,0.73,0.110821444107,1.108214,49.315542628377,0.493155
slurm-batch3519-seed4-3538,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,66,43,43,0,25,0.66,0.285,0.998,3.54,0.94,4.48,0.463,0.73,0.105441407781,1.054414,46.921426460766,0.469214
slurm-batch3519-seed5-3539,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,66,36,36,0,35,0.66,0.253,0.99,3.54,1.15,4.69,0.391,0.68,0.115517507767,1.155175,39.502350893226,0.395024
slurm-batch3521-seed1-3704,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,49,48,48,0,4,0.49,0.178,0.999,3.52,1.1,4.62,0.51,0.93,0.135820578097,1.358206,19.463145885244,0.194631
slurm-batch3521-seed2-3705,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,41,43,43,0,1,0.41,0.15,0.998,3.47,1.24,4.71,0.453,0.96,0.142907473759,1.429075,20.478701010972,0.204787
slurm-batch3521-seed3-3706,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,49,48,48,0,2,0.49,0.186,0.999,3.71,1.46,5.17,0.51,0.97,0.147386886084,1.473869,21.120602678425,0.211206
slurm-batch3521-seed4-3707,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,49,47,47,0,3,0.49,0.174,0.999,3.71,1.47,5.18,0.506,0.96,0.16854403465,1.68544,24.152430953712,0.241524
slurm-batch3521-seed5-3708,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,45,47,47,0,1,0.45,0.172,1.0,3.66,1.61,5.27,0.496,0.96,0.151556709529,1.515567,38.5018464893,0.385018
slurm-batch3520-seed1-3675,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,51,42,42,0,10,0.51,0.212,1.0,3.67,1.32,4.99,0.46,0.89,0.21857489813,2.185749,31.321874703088,0.313219
slurm-batch3520-seed2-3676,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,51,41,41,0,10,0.51,0.203,1.0,3.48,1.2,4.68,0.466,0.9,0.204200790266,2.042008,29.262059009757,0.292621
slurm-batch3520-seed3-3677,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,51,43,43,0,9,0.51,0.196,1.0,3.3,0.92,4.22,0.461,0.9,0.202670843292,2.026708,29.042816965241,0.290428
slurm-batch3520-seed4-3678,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,46,39,39,0,8,0.46,0.172,1.0,3.41,1.17,4.58,0.429,0.91,0.212979839982,2.129798,30.520100519517,0.305201
slurm-batch3520-seed5-3679,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,51,46,46,0,7,0.51,0.196,1.0,3.57,1.08,4.65,0.477,0.91,0.208463834187,2.084638,29.872954994141,0.29873
slurm-batch3522-seed1-3785,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,46,44,44,0,3,0.46,0.165,1.0,3.55,1.18,4.73,0.479,0.96,0.283419352621,2.834194,126.121611919263,1.261216
slurm-batch3522-seed2-3786,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,49,47,47,0,3,0.49,0.186,1.0,3.82,1.36,5.18,0.523,0.96,0.275573938545,2.755739,122.630402652277,1.226304
slurm-batch3522-seed3-3787,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,47,48,48,0,2,0.47,0.16,0.999,3.72,1.59,5.31,0.518,0.95,0.293183687066,2.931837,130.466740746633,1.304667
slurm-batch3522-seed4-3788,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,49,49,49,0,3,0.49,0.178,1.0,3.94,1.64,5.58,0.524,0.94,0.29596204444,2.95962,131.703109776571,1.317031
slurm-batch3522-seed5-3789,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-9B,100,52,50,50,0,3,0.52,0.182,1.0,3.84,1.44,5.28,0.532,0.96,0.289916165761,2.899162,129.012693763772,1.290127
slurm-batch3527-seed1-6243,1,tool,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,100,66,12,12,0,54,0.66,0.241,1.0,0.9,0.66,1.56,0.15,0.46,0.184908666269,1.849087,33.826934621071,0.338269
slurm-batch3527-seed2-6244,2,tool,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,100,53,10,10,0,44,0.53,0.206,1.0,0.88,0.78,1.66,0.114,0.55,0.186412551374,1.864126,26.712996905214,0.26713
slurm-batch3527-seed3-6245,3,tool,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,100,52,10,10,0,44,0.52,0.196,1.0,0.97,0.98,1.95,0.112,0.54,0.210799190408,2.107992,30.207612521039,0.302076
slurm-batch3527-seed4-6246,4,tool,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,100,57,13,13,0,45,0.57,0.214,1.0,0.98,0.78,1.76,0.139,0.54,0.189189678,1.891897,27.110960316523,0.27111
slurm-batch3527-seed5-6247,5,tool,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,100,57,8,8,0,51,0.57,0.197,1.0,0.95,1.07,2.02,0.086,0.49,0.213098925656,2.130989,30.537165547799,0.305372
slurm-batch3529-seed1-6545,1,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,100,30,29,29,0,3,0.3,0.048,1.0,1.91,0.71,2.62,0.308,0.95,0.256958965614,2.56959,108.40245903811,1.084025
slurm-batch3529-seed2-6546,2,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,100,38,38,38,0,3,0.38,0.085,1.0,1.97,0.58,2.55,0.377,0.94,0.235305680934,2.353057,99.07013200331,0.990701
slurm-batch3529-seed3-6547,3,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,100,30,32,32,0,1,0.3,0.073,1.0,1.86,0.52,2.38,0.319,0.96,0.236732814822,2.367328,105.346102595233,1.053461
slurm-batch3529-seed4-6548,4,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,100,30,27,27,0,4,0.3,0.06,1.0,1.9,0.69,2.59,0.308,0.95,0.254083272286,2.540833,113.067056166353,1.130671
slurm-batch3529-seed5-6549,5,tool,Qwen/Qwen3-8B,Qwen/Qwen3-8B,100,29,29,29,0,0,0.29,0.058,1.0,1.79,0.53,2.32,0.308,1.0,0.239793887189,2.397939,106.708279798358,1.067083
slurm-batch3528-seed1-6482,1,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B,100,26,14,14,0,12,0.26,0.082,1.0,1.18,1.0,2.18,0.178,0.88,0.330030067485,3.300301,47.293447283391,0.472934
slurm-batch3528-seed2-6483,2,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B,100,30,19,19,0,11,0.3,0.097,1.0,1.09,0.81,1.9,0.215,0.89,0.300751634043,3.007516,43.097835474167,0.430978
slurm-batch3528-seed3-6484,3,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B,100,31,21,21,0,11,0.31,0.087,1.0,1.25,1.0,2.25,0.24,0.88,0.317925150584,3.179252,45.558807608075,0.455588
slurm-batch3528-seed4-6485,4,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B,100,25,14,14,0,11,0.25,0.078,1.0,1.13,0.9,2.03,0.153,0.89,0.329850965143,3.29851,47.267781842053,0.472678
slurm-batch3528-seed5-6486,5,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-4B,100,36,22,22,0,14,0.36,0.106,1.0,1.17,0.67,1.84,0.221,0.86,0.295074653594,2.950747,42.284321791427,0.422843
slurm-batch3530-seed1-6592,1,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-9B,100,20,23,23,0,1,0.2,0.04,1.0,1.43,0.94,2.37,0.247,0.95,0.412039565007,4.120396,183.357606428563,1.833576
slurm-batch3530-seed2-6593,2,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-9B,100,21,25,25,0,0,0.21,0.053,1.0,1.31,0.83,2.14,0.256,0.96,0.388765494202,3.887655,173.000644917021,1.730006
slurm-batch3530-seed3-6594,3,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-9B,100,18,23,23,0,0,0.18,0.036,1.0,1.37,0.76,2.13,0.219,0.95,0.40056090593,4.005609,178.249603135879,1.782496
slurm-batch3530-seed4-6595,4,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-9B,100,20,22,22,0,1,0.2,0.053,1.0,1.33,0.66,1.99,0.246,0.96,0.395902889502,3.959029,176.176785830373,1.761768
slurm-batch3530-seed5-6596,5,tool,Qwen/Qwen3-8B,Qwen/Qwen3.5-9B,100,24,26,26,0,0,0.24,0.065,1.0,1.17,0.88,2.05,0.251,0.98,0.390584875155,3.905849,172.662725423594,1.726627
slurm-batch3523-seed1-4123,1,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-1.7B,100,71,11,11,0,60,0.71,0.247,1.0,1.0,1.05,2.05,0.138,0.4,0.362124668245,3.621247,161.14547736845,1.611455
slurm-batch3523-seed2-4124,2,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-1.7B,100,76,10,10,0,66,0.76,0.251,1.0,0.9,0.84,1.74,0.111,0.34,0.350778944923,3.507789,156.096630489662,1.560966
slurm-batch3523-seed3-4125,3,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-1.7B,100,66,13,13,0,53,0.66,0.203,1.0,0.82,1.04,1.86,0.147,0.47,0.390361825305,3.903618,173.711012260084,1.73711
slurm-batch3523-seed4-4126,4,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-1.7B,100,71,13,13,0,59,0.71,0.24,1.0,1.04,1.01,2.05,0.159,0.4,0.372094270407,3.720943,165.581950331639,1.65582
slurm-batch3523-seed5-4127,5,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-1.7B,100,76,9,9,0,67,0.76,0.253,1.0,0.84,1.02,1.86,0.12,0.33,0.377029404611,3.770294,167.77808505223,1.677781
slurm-batch3525-seed1-4847,1,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-8B,100,37,37,37,0,2,0.37,0.103,1.0,2.17,2.22,4.39,0.409,0.96,0.548257492049,5.482575,243.974583962285,2.439746
slurm-batch3525-seed2-4848,2,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-8B,100,36,34,34,0,2,0.36,0.084,0.999,2.33,2.38,4.71,0.37,0.98,0.579581363617,5.795814,257.913706809653,2.579137
slurm-batch3525-seed3-4849,3,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-8B,100,29,32,32,0,0,0.29,0.09,0.999,2.2,2.13,4.33,0.341,0.97,0.135691096328,1.356911,60.382537866076,0.603825
slurm-batch3525-seed4-4850,4,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-8B,100,41,43,43,0,0,0.41,0.109,0.999,2.28,2.21,4.49,0.428,0.98,0.137256965568,1.37257,61.079349675907,0.610793
slurm-batch3525-seed5-4851,5,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3-8B,100,39,39,39,0,2,0.39,0.09,1.0,2.37,2.33,4.7,0.399,0.96,0.144824787255,1.448248,64.447030327659,0.64447
slurm-batch3524-seed1-4588,1,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,100,46,29,29,0,17,0.46,0.137,1.0,1.69,1.8,3.49,0.302,0.83,0.135531084752,1.355311,60.311332716591,0.603113
slurm-batch3524-seed2-4589,2,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,100,44,29,29,0,16,0.44,0.095,1.0,1.82,1.9,3.72,0.314,0.83,0.646895203441,6.468952,287.868365530847,2.878684
slurm-batch3524-seed3-4590,3,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,100,48,26,26,0,22,0.48,0.117,1.0,1.6,1.77,3.37,0.274,0.78,0.137347852594,1.373479,61.119794405707,0.611198
slurm-batch3524-seed4-4591,4,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,100,30,22,22,0,10,0.3,0.087,1.0,1.56,2.0,3.56,0.239,0.88,0.14410746927,1.441075,64.127823824411,0.641278
slurm-batch3524-seed5-4592,5,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,100,41,19,19,0,22,0.41,0.106,1.0,1.44,1.87,3.31,0.221,0.78,0.13433025543,1.343303,59.77696366545,0.59777
slurm-batch3526-seed1-5207,1,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-9B,100,27,28,28,0,5,0.27,0.083,1.0,1.69,1.88,3.57,0.287,0.89,0.670247808697,6.702478,298.260274872598,2.982603
slurm-batch3526-seed2-5208,2,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-9B,100,35,36,36,0,4,0.35,0.071,1.0,1.66,2.18,3.84,0.377,0.93,0.156264976551,1.56265,69.537914564876,0.695379
slurm-batch3526-seed3-5209,3,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-9B,100,30,27,27,0,4,0.3,0.077,1.0,1.78,2.08,3.86,0.291,0.95,0.665586592845,6.655866,296.18603381643,2.96186
slurm-batch3526-seed4-5210,4,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-9B,100,29,27,27,0,4,0.29,0.062,1.0,1.98,2.33,4.31,0.299,0.94,0.161997187051,1.619972,72.088748236627,0.720887
slurm-batch3526-seed5-5211,5,tool,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-9B,100,29,29,29,0,3,0.29,0.064,1.0,1.85,2.39,4.24,0.291,0.94,0.725718158868,7.257182,322.944580697513,3.229446
slurm-batch3531-seed1-6840,1,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-1.7B,100,54,3,3,0,51,0.54,0.157,1.0,0.4,0.01,0.41,0.047,0.49,0.513738304206,5.137383,228.613545371394,2.286135
slurm-batch3531-seed2-6841,2,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-1.7B,100,61,5,5,0,56,0.61,0.181,1.0,0.53,0.0,0.53,0.062,0.44,0.541807935149,5.418079,241.104531140199,2.411045
slurm-batch3531-seed3-6842,3,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-1.7B,100,62,5,5,0,57,0.62,0.205,1.0,0.33,0.0,0.33,0.062,0.43,0.493875247137,4.938752,219.774484976827,2.197745
slurm-batch3531-seed4-6843,4,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-1.7B,100,71,3,3,0,68,0.71,0.191,1.0,0.45,0.01,0.46,0.049,0.32,0.493202808624,4.932028,219.475249836986,2.194752
slurm-batch3531-seed5-6844,5,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-1.7B,100,63,5,5,0,58,0.63,0.18,1.0,0.47,0.02,0.49,0.057,0.42,0.514922785539,5.149228,229.140639565149,2.291406
slurm-batch3533-seed1-7188,1,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-8B,100,11,12,12,0,0,0.11,0.013,0.999,0.88,0.0,0.88,0.135,0.99,0.655693691801,6.556937,291.783692852685,2.917837
slurm-batch3533-seed2-7189,2,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-8B,100,9,10,10,0,0,0.09,0.018,1.0,0.85,0.0,0.85,0.107,0.99,0.68777157054,6.877716,306.058348887915,3.060583
slurm-batch3533-seed3-7190,3,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-8B,100,14,14,14,0,0,0.14,0.011,1.0,0.93,0.0,0.93,0.142,1.0,0.112285473239,1.122855,49.96703559076,0.49967
slurm-batch3533-seed4-7191,4,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-8B,100,8,8,8,0,0,0.08,0.009,1.0,0.87,0.0,0.87,0.098,1.0,0.11521600713,1.15216,51.27112317341,0.512711
slurm-batch3533-seed5-7192,5,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3-8B,100,6,6,6,0,0,0.06,0.007,1.0,0.78,0.0,0.78,0.103,1.0,0.114371885828,1.143719,50.895489195259,0.508955
slurm-batch3532-seed1-7079,1,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3.5-4B,100,26,7,7,0,19,0.26,0.071,1.0,0.56,0.0,0.56,0.096,0.81,0.679681859929,6.796819,302.458427667663,3.024584
slurm-batch3532-seed2-7080,2,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3.5-4B,100,21,12,12,0,9,0.21,0.025,1.0,0.62,0.0,0.62,0.122,0.91,0.756001503441,7.560015,336.420669032521,3.364207
slurm-batch3532-seed3-7081,3,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3.5-4B,100,27,11,11,0,17,0.27,0.056,1.0,0.61,0.0,0.61,0.116,0.82,0.118776013508,1.18776,52.85532601235,0.528553
slurm-batch3532-seed4-7082,4,tool,Qwen/Qwen3.5-9B,Qwen/Qwen3.5-4B,100,14,6,6,0,9,0.14,0.033,1.0,0.55,0.01,0.56,0.072,0.9,0.120220123425,1.202201,53.497954924488,0.53498
