run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch9622-seed1-235,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,7,7,6,6,0,0,1,0.778,0.728,1.0,0.669,0.898,0.612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.556,0.444,4.0,0.796,1.0,0.889,0.2228,0.0,,0.0,,
slurm-batch9622-seed10-244,10,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,7,7,6,6,0,0,0,0.778,0.694,1.0,0.683,0.767,0.612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.556,4.556,0.76,1.0,0.889,0.2153,0.0,,0.0,,
slurm-batch9622-seed2-236,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,8,8,7,7,0,0,0,0.889,0.767,1.0,0.676,0.862,0.556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.667,0.111,3.778,0.815,0.981,0.889,0.2047,0.0,,0.0,,
slurm-batch9622-seed3-237,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,8,8,7,7,0,0,0,0.889,0.75,1.0,0.675,0.837,0.576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.111,4.111,0.795,1.0,0.889,0.2235,0.0,,0.0,,
slurm-batch9622-seed4-238,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,9,9,6,6,0,0,2,1.0,0.828,1.0,0.674,0.871,0.615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.778,0.222,4.0,0.764,1.0,0.667,0.2306,0.0,,0.0,,
slurm-batch9622-seed5-239,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,8,8,7,7,0,0,0,0.889,0.789,1.0,0.681,0.867,0.608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.778,0.333,4.111,0.815,1.0,0.889,0.2283,0.0,,0.0,,
slurm-batch9622-seed6-240,6,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,8,8,7,7,0,0,1,0.889,0.767,1.0,0.674,0.851,0.554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.111,0.556,4.667,0.834,1.0,0.889,0.2259,0.0,,0.0,,
slurm-batch9622-seed7-241,7,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,7,7,6,6,0,0,0,0.778,0.678,1.0,0.68,0.844,0.561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.222,0.889,5.111,0.779,0.981,0.889,0.225,0.0,,0.0,,
slurm-batch9622-seed8-242,8,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,8,8,6,6,0,0,2,0.889,0.767,1.0,0.672,0.894,0.532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.667,0.0,3.667,0.729,1.0,0.778,0.2124,0.0,,0.0,,
slurm-batch9622-seed9-243,9,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,9,7,7,5,5,0,0,0,0.778,0.656,1.0,0.669,0.833,0.568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.667,4.667,0.726,1.0,0.778,0.2196,0.0,,0.0,,
slurm-batch9623-seed1-249,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,9,4,4,4,4,0,0,0,0.444,0.389,1.0,0.678,0.87,0.528,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.333,2.778,7.111,0.739,1.0,1.0,0.2328,0.0,,0.0,,
slurm-batch9623-seed10-258,10,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,9,3,3,3,3,0,0,0,0.333,0.3,0.989,0.691,0.804,0.493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.778,2.222,7.0,0.804,1.0,1.0,0.2416,0.0,,0.0,,
slurm-batch9623-seed2-250,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,9,5,5,5,5,0,0,0,0.556,0.467,1.0,0.69,0.772,0.425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.778,1.889,6.667,0.822,0.981,1.0,0.2358,0.0,,0.0,,
slurm-batch9623-seed3-251,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,9,5,5,5,5,0,0,0,0.556,0.467,1.0,0.677,0.795,0.409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.556,1.889,6.444,0.81,1.0,1.0,0.2558,0.0,,0.0,,
