run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch3934-seed1-4145,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,3,2,1,0,3,0.889,0.578,0.989,0.64,0.722,0.353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.222,1.0,4.222,0.504,1.0,0.444,0.2452,0.0,,0.0,,
slurm-batch3934-seed10-4166,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,1,1,0,1,3,0.778,0.467,0.918,0.645,0.698,0.324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.667,0.667,3.333,0.352,1.0,0.333,0.2587,0.0,,0.0,,
slurm-batch3934-seed2-4146,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,5,5,2,1,1,3,0,0.556,0.356,0.841,0.643,0.641,0.399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.778,0.111,2.889,0.537,1.0,0.667,0.2734,0.0,,0.0,,
slurm-batch3934-seed3-4151,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,0,0,0,0,1,0.667,0.511,0.961,0.66,0.617,0.342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.889,0.778,3.667,0.37,1.0,0.333,0.236,0.0,,0.0,,
slurm-batch3934-seed4-4152,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,3,2,1,1,2,0.889,0.667,0.978,0.653,0.758,0.439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.556,0.444,3.0,0.57,1.0,0.444,0.2367,0.0,,0.0,,
slurm-batch3934-seed5-4156,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,2,2,0,0,3,0.778,0.483,0.955,0.637,0.676,0.341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.556,0.667,3.222,0.514,1.0,0.444,0.2485,0.0,,0.0,,
slurm-batch3934-seed6-4157,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,2,1,1,0,3,0.889,0.7,1.0,0.641,0.822,0.378,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.222,0.667,2.889,0.513,1.0,0.333,0.2455,0.0,,0.0,,
slurm-batch3934-seed7-4162,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,2,1,1,1,2,0.889,0.678,0.915,0.63,0.755,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.667,0.444,2.111,0.499,1.0,0.333,0.2342,0.0,,0.0,,
slurm-batch3934-seed8-4163,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,2,2,0,0,1,0.667,0.528,0.994,0.653,0.664,0.34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.222,0.222,2.444,0.593,1.0,0.556,0.2344,0.0,,0.0,,
slurm-batch3934-seed9-4165,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,2,2,0,0,2,0.667,0.339,1.0,0.65,0.636,0.294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.222,0.222,3.444,0.562,1.0,0.556,0.2293,0.0,,0.0,,
