run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch9746-seed1-9762,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,83,61,59,2,0,4,0.83,0.509,0.999,3.86,0.62,4.48,0.783,0.998,0.76,0.050724863431,0.507249,22.572564227372,0.225726
slurm-batch9746-seed2-9763,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,81,60,58,2,0,3,0.81,0.487,1.0,3.92,0.59,4.51,0.775,0.997,0.77,0.026138590663,0.261386,11.631672845686,0.116317
slurm-batch9746-seed3-9764,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,88,60,58,2,0,7,0.88,0.524,1.0,3.85,0.38,4.23,0.752,0.997,0.72,0.023282156865,0.232822,10.360559803475,0.103606
slurm-batch9746-seed4-9765,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,87,68,66,2,0,4,0.87,0.524,1.0,3.96,0.38,4.34,0.815,0.999,0.81,0.044714571304,0.447146,19.897984229698,0.19898
slurm-batch9746-seed5-9766,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,87,65,63,2,0,4,0.87,0.53,1.0,3.92,0.5,4.42,0.8,0.993,0.76,0.048420805178,0.484208,21.5472583037,0.215473
slurm-batch9748-seed1-9952,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,79,79,78,1,0,0,0.79,0.438,1.0,4.28,0.81,5.09,0.885,0.993,0.98,0.072123351022,0.721234,25.59330984685,0.255933
slurm-batch9748-seed2-9953,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,69,68,67,1,0,1,0.69,0.405,1.0,4.4,0.99,5.39,0.838,0.998,0.99,0.080857743808,0.808577,11.586948647742,0.115869
slurm-batch9748-seed3-9954,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,77,76,76,0,0,0,0.77,0.416,0.999,4.41,0.73,5.14,0.874,0.996,0.99,0.069954427598,0.699544,10.024498855093,0.100245
slurm-batch9748-seed4-9955,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,78,76,75,1,0,0,0.78,0.461,0.999,4.21,0.88,5.09,0.862,0.999,0.98,0.074035644724,0.740356,10.609338983403,0.106093
slurm-batch9748-seed5-9956,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,72,71,70,1,0,1,0.72,0.405,1.0,4.33,0.86,5.19,0.849,0.994,0.99,0.075173925966,0.751739,10.772455164351,0.107725
