run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch2072-seed1-2081,1,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,13,0,0,0,13,0.13,0.089,0.827,1.07,0.57,1.64,0.005,0.87,0.083562501637,0.835625,37.185313227029,0.371853
slurm-batch2072-seed2-2082,2,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,14,0,0,0,14,0.14,0.107,0.871,0.79,0.55,1.34,0.006,0.86,0.076678298483,0.766783,34.121842822618,0.341218
slurm-batch2072-seed3-2083,3,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,11,0,0,0,11,0.11,0.085,0.883,1.0,0.65,1.65,0.002,0.89,0.078918492019,0.789185,35.118728948018,0.351187
slurm-batch2072-seed4-2084,4,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,20,0,0,0,20,0.2,0.129,0.86,0.82,0.41,1.23,0.003,0.8,0.067139440415,0.671394,29.877050986344,0.298771
slurm-batch2072-seed5-2085,5,tool,google/gemma-3-1b-it,google/gemma-3-1b-it,100,17,0,0,0,17,0.17,0.127,0.862,0.87,0.55,1.42,0.006,0.83,0.074356487982,0.743565,33.088637150813,0.330886
slurm-batch2073-seed1-2095,1,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0.0,0.0,0.971,0.35,0.1,0.45,0.009,1.0,0.066516667786,0.665167,29.599917164529,0.295999
slurm-batch2073-seed2-2096,2,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,1,1,1,0,0,0.01,0.003,0.957,0.48,0.11,0.59,0.011,1.0,0.074569799626,0.745698,33.183560832683,0.331836
slurm-batch2073-seed3-2097,3,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,1,0,0,0,1,0.01,0.0,0.968,0.52,0.15,0.67,0.008,0.99,0.070276770609,0.702768,31.273162922633,0.312732
slurm-batch2073-seed4-2098,4,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0.0,0.0,0.953,0.66,0.26,0.92,0.001,1.0,0.078062002767,0.78062,34.737591233349,0.347376
slurm-batch2073-seed5-2099,5,tool,google/gemma-3-1b-it,google/gemma-4-E2B-it,100,1,0,0,0,1,0.01,0.009,0.951,0.46,0.05,0.51,0.003,0.99,0.065474164098,0.654742,29.136003022755,0.29136
slurm-batch2074-seed1-2112,1,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0.0,0.0,0.991,0.42,0.05,0.47,0.001,1.0,0.072748879875,0.727489,32.373251544567,0.323733
slurm-batch2074-seed2-2113,2,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0.0,0.0,0.99,0.58,0.2,0.78,0.0,1.0,0.083963355988,0.839634,37.363693415044,0.373637
slurm-batch2074-seed3-2114,3,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0.0,0.0,0.981,0.55,0.2,0.75,0.004,1.0,0.076629551288,0.766296,34.100150324716,0.341002
slurm-batch2074-seed4-2115,4,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0.0,0.0,0.988,0.48,0.15,0.63,0.003,1.0,0.076483802011,0.764838,34.035291894885,0.340353
slurm-batch2074-seed5-2116,5,tool,google/gemma-3-1b-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0.0,0.0,0.98,0.33,0.05,0.38,0.009,1.0,0.070868504808,0.708685,31.536484639032,0.315365
slurm-batch2075-seed1-2173,1,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,45,7,7,0,39,0.45,0.166,1.0,1.71,1.41,3.12,0.082,0.6,0.129298056099,1.292981,57.537634961297,0.575376
slurm-batch2075-seed2-2174,2,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,38,5,5,0,34,0.38,0.142,0.999,1.73,1.55,3.28,0.077,0.65,0.150142076411,1.501421,66.81322400368,0.668132
slurm-batch2075-seed3-2175,3,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,42,4,4,0,40,0.42,0.17,0.998,1.7,1.36,3.06,0.064,0.58,0.12426426203,1.242643,55.297596602507,0.552976
slurm-batch2075-seed4-2176,4,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,38,4,4,0,36,0.38,0.137,0.995,1.78,1.59,3.37,0.057,0.62,0.128570370857,1.285704,57.213815031163,0.572138
slurm-batch2075-seed5-2177,5,tool,google/gemma-4-E2B-it,google/gemma-3-1b-it,100,42,3,3,0,41,0.42,0.179,0.998,1.71,1.42,3.13,0.047,0.57,0.129279136439,1.292791,57.529215714407,0.575292
slurm-batch2076-seed1-2298,1,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,16,12,12,0,5,0.16,0.017,0.998,2.56,2.22,4.78,0.177,0.94,0.161916350397,1.619164,72.052775926114,0.720528
slurm-batch2076-seed2-2299,2,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,15,12,12,0,3,0.15,0.025,1.0,2.49,2.18,4.67,0.14,0.97,0.180381318858,1.803813,80.269686890967,0.802697
slurm-batch2076-seed3-2300,3,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,14,12,12,0,3,0.14,0.027,1.0,2.51,2.15,4.66,0.133,0.96,0.168106658638,1.681067,74.807463095393,0.748075
slurm-batch2076-seed4-2301,4,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,12,8,8,0,4,0.12,0.024,0.998,2.46,2.22,4.68,0.125,0.96,0.169570685192,1.695707,75.45895491253,0.75459
slurm-batch2076-seed5-2302,5,tool,google/gemma-4-E2B-it,google/gemma-4-E2B-it,100,27,21,21,0,6,0.27,0.042,0.997,2.54,2.08,4.62,0.212,0.94,0.156151103354,1.561511,69.487240992698,0.694872
slurm-batch2077-seed1-2350,1,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,12,14,14,0,0,0.12,0.021,0.999,2.7,2.2,4.9,0.147,0.98,0.186707455425,1.867075,83.084817664289,0.830848
slurm-batch2077-seed2-2351,2,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,17,20,20,0,0,0.17,0.021,1.0,2.59,2.15,4.74,0.212,0.97,0.165067961546,1.65068,73.45524288948,0.734552
slurm-batch2077-seed3-2352,3,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,14,14,14,0,0,0.14,0.019,1.0,2.65,2.29,4.94,0.155,1.0,0.174523245283,1.745232,77.662844152696,0.776628
slurm-batch2077-seed4-2353,4,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,14,13,13,0,1,0.14,0.036,0.999,2.57,2.16,4.73,0.152,0.99,0.173338575829,1.733386,77.135666244796,0.771357
slurm-batch2077-seed5-2354,5,tool,google/gemma-4-E2B-it,google/gemma-4-E4B-it,100,12,14,14,0,0,0.12,0.018,1.0,2.47,2.11,4.58,0.154,0.98,0.161840598253,1.618406,72.01906622275,0.720191
slurm-batch2078-seed1-2386,1,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,46,3,3,0,43,0.46,0.113,0.99,0.51,0.14,0.65,0.031,0.57,0.139753940909,1.397539,62.190503703387,0.621905
slurm-batch2078-seed2-2387,2,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,41,3,3,0,38,0.41,0.101,0.99,0.5,0.12,0.62,0.042,0.62,0.136517627183,1.365176,60.750344095228,0.607503
slurm-batch2078-seed3-2388,3,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,36,2,2,0,35,0.36,0.096,0.993,0.44,0.1,0.54,0.024,0.64,0.097300985804,0.97301,43.298938684633,0.432989
slurm-batch2078-seed4-2389,4,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,43,4,4,0,39,0.43,0.097,0.986,0.46,0.16,0.62,0.05,0.61,0.099602787537,0.996028,44.323240453036,0.443232
slurm-batch2078-seed5-2390,5,tool,google/gemma-4-E4B-it,google/gemma-3-1b-it,100,40,0,0,0,40,0.4,0.096,0.983,0.54,0.1,0.64,0.011,0.6,0.13514648461,1.351465,60.140185652272,0.601402
slurm-batch2079-seed1-2398,1,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,1,0,0,0,1,0.01,0.001,0.998,0.78,0.14,0.92,0.005,0.99,0.085488670721,0.854887,38.042458470901,0.380425
slurm-batch2079-seed2-2399,2,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0.0,0.0,0.998,0.9,0.13,1.03,0.013,1.0,0.15802994309,1.580299,70.323324675743,0.703233
slurm-batch2079-seed3-2400,3,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,0,0,0,0,0,0.0,0.0,0.998,0.75,0.1,0.85,0.005,1.0,0.146586558122,1.465866,65.231018365189,0.65231
slurm-batch2079-seed4-2401,4,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,2,1,1,0,1,0.02,0.007,0.998,0.74,0.15,0.89,0.015,0.99,0.116808713243,1.168087,51.979877393309,0.519799
slurm-batch2079-seed5-2402,5,tool,google/gemma-4-E4B-it,google/gemma-4-E2B-it,100,2,1,1,0,1,0.02,0.003,0.998,0.83,0.16,0.99,0.013,0.99,0.085466743583,0.854667,38.03270089736,0.380327
slurm-batch2080-seed1-2405,1,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,1,1,1,0,0,0.01,0.0,1.0,0.89,0.12,1.01,0.017,1.0,0.087946927734,0.879469,39.136382842465,0.391364
slurm-batch2080-seed2-2406,2,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,2,1,1,0,1,0.02,0.002,1.0,0.88,0.12,1.0,0.019,0.99,0.166674872687,1.666749,74.170318343066,0.741703
slurm-batch2080-seed3-2407,3,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,0,0,0,0,0,0.0,0.0,1.0,0.78,0.1,0.88,0.004,1.0,0.151191445773,1.511914,67.280193367084,0.672802
slurm-batch2080-seed4-2408,4,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,2,1,1,0,1,0.02,0.006,1.0,0.94,0.07,1.01,0.022,0.99,0.12357579775,1.235758,54.99122999941,0.549912
slurm-batch2080-seed5-2409,5,tool,google/gemma-4-E4B-it,google/gemma-4-E4B-it,100,3,3,3,0,1,0.03,0.007,1.0,0.92,0.14,1.06,0.035,0.98,0.091001333929,0.910013,40.495593597772,0.404956
