run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch4665-seed1-4673,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,28,13,13,0,15,0.28,0.129,0.987,3.72,3.39,7.11,0.153,0.85,0.799372235038,7.993722,338.923675192344,3.389237
slurm-batch4665-seed2-4674,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,22,7,7,0,16,0.22,0.102,0.98,3.71,3.54,7.25,0.099,0.83,0.748845610405,7.488456,325.796166630625,3.257962
slurm-batch4665-seed3-4675,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,36,19,19,0,19,0.36,0.158,0.975,3.82,3.79,7.61,0.2,0.81,0.724022796124,7.240228,317.850609793879,3.178506
slurm-batch4665-seed4-4676,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,30,12,12,0,20,0.3,0.123,0.996,3.34,3.51,6.85,0.137,0.8,0.711848165717,7.118482,102.008141123434,1.020081
slurm-batch4665-seed5-4677,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,30,12,12,0,18,0.3,0.133,0.993,3.45,3.45,6.9,0.151,0.82,0.692554606294,6.925546,99.243365954917,0.992434
slurm-batch4666-seed1-6045,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,29,12,12,0,17,0.29,0.116,0.939,3.5,3.59,7.09,0.128,0.83,0.840571242419,8.405712,120.45421207855,1.204542
slurm-batch4666-seed2-6046,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,29,9,9,0,20,0.29,0.121,0.948,3.74,3.6,7.34,0.099,0.8,0.775964067505,7.759641,111.195976778761,1.11196
slurm-batch4666-seed3-6047,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,33,15,15,0,18,0.33,0.137,0.957,3.89,3.68,7.57,0.161,0.82,0.746206769619,7.462068,106.93174349284,1.069317
slurm-batch4666-seed4-6048,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,33,18,18,0,16,0.33,0.149,0.972,3.4,3.59,6.99,0.197,0.83,0.711839439915,7.118394,102.006890712506,1.020069
slurm-batch4666-seed5-6049,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,35,16,16,0,22,0.35,0.155,0.972,3.58,3.2,6.78,0.173,0.77,0.680002127311,6.800021,97.444590444549,0.974446
slurm-batch4667-seed1-6753,1,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,66,39,39,0,31,0.66,0.231,0.997,3.85,4.2,8.05,0.398,0.67,0.422330535998,4.223305,60.520143187021,0.605201
slurm-batch4667-seed2-6754,2,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,69,46,46,0,27,0.69,0.236,0.996,3.74,4.15,7.89,0.442,0.71,0.401068894031,4.010689,57.473340963663,0.574733
slurm-batch4667-seed3-6755,3,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,75,42,42,0,33,0.75,0.266,0.997,3.73,4.08,7.81,0.414,0.67,0.422802339581,4.228023,134.172277304971,1.341723
slurm-batch4667-seed4-6756,4,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,68,48,48,0,29,0.68,0.252,0.999,3.8,4.14,7.94,0.439,0.64,0.451688220296,4.516882,150.825742058079,1.508257
slurm-batch4667-seed5-6757,5,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,63,38,38,0,28,0.63,0.216,0.993,3.58,4.22,7.8,0.393,0.69,0.471275628886,4.712756,201.587903029772,2.015879
slurm-batch4668-seed1-7084,1,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,79,31,31,0,50,0.79,0.246,1.0,3.06,3.93,6.99,0.33,0.52,0.400690813794,4.006908,178.307412136927,1.783074
slurm-batch4668-seed2-7085,2,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,77,42,42,0,35,0.77,0.251,0.999,3.34,4.02,7.36,0.411,0.65,0.397682904983,3.976829,176.968892719091,1.769689
slurm-batch4668-seed3-7086,3,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,77,40,40,0,41,0.77,0.257,1.0,3.02,3.83,6.85,0.395,0.55,0.347055701901,3.470557,154.43978734848,1.544398
slurm-batch4668-seed4-7087,4,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,71,43,43,0,31,0.71,0.236,1.0,3.19,3.96,7.15,0.414,0.66,0.413192905634,4.131929,183.870843008216,1.838708
slurm-batch4668-seed5-7088,5,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,71,38,38,0,35,0.71,0.238,1.0,3.19,4.05,7.24,0.39,0.63,0.380981067403,3.809811,169.53657499542,1.695366
slurm-batch4669-seed1-7578,1,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,70,39,39,0,33,0.7,0.196,0.999,3.39,4.32,7.71,0.4,0.65,0.477299273749,4.772993,212.398176818818,2.123982
slurm-batch4669-seed2-7579,2,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,70,38,38,0,38,0.7,0.262,0.997,2.82,3.84,6.66,0.357,0.58,0.394995555888,3.949956,175.773022370383,1.75773
slurm-batch4669-seed3-7580,3,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,65,40,40,0,28,0.65,0.209,1.0,3.17,4.17,7.34,0.387,0.69,0.424565480884,4.245655,188.931638996194,1.889316
slurm-batch4669-seed4-7581,4,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,73,38,38,0,37,0.73,0.182,0.999,3.14,4.33,7.47,0.407,0.61,0.47348599012,4.73486,210.701265603122,2.107013
slurm-batch4669-seed5-7582,5,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,69,39,39,0,36,0.69,0.223,0.998,3.0,4.04,7.04,0.373,0.58,0.406838759942,4.068388,181.043248174233,1.810432
slurm-batch4670-seed1-8007,1,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,45,37,37,0,9,0.45,0.214,0.932,2.69,3.13,5.82,0.358,0.9,0.354478168014,3.544782,157.742784764838,1.577428
slurm-batch4670-seed2-8008,2,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,46,41,41,0,8,0.46,0.198,0.94,3.01,3.31,6.32,0.41,0.91,0.386385028175,3.86385,171.941337535532,1.719413
slurm-batch4670-seed3-8009,3,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,35,35,35,0,4,0.35,0.148,0.928,2.86,3.67,6.53,0.343,0.92,0.410485477852,4.104855,182.666037644296,1.82666
slurm-batch4670-seed4-8010,4,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,34,32,32,0,5,0.34,0.144,0.899,2.76,3.31,6.07,0.321,0.92,0.408622988185,4.08623,94.483864341792,0.944839
slurm-batch4670-seed5-8011,5,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,43,33,33,0,10,0.43,0.187,0.945,2.55,3.39,5.94,0.338,0.9,0.374720235009,3.747202,84.390507822429,0.843905
slurm-batch4671-seed1-8461,1,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,50,47,47,0,7,0.5,0.206,0.997,2.84,3.25,6.09,0.453,0.89,0.372602976659,3.72603,54.07558137271,0.540756
slurm-batch4671-seed2-8462,2,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,40,35,35,0,8,0.4,0.149,0.998,2.61,3.88,6.49,0.353,0.89,0.424556563577,4.245566,60.839133874394,0.608391
slurm-batch4671-seed3-8463,3,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,52,46,46,0,8,0.52,0.196,0.997,2.81,3.57,6.38,0.444,0.9,0.381832805547,3.818328,54.716801405164,0.547168
slurm-batch4671-seed4-8464,4,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,39,36,36,0,5,0.39,0.156,0.995,2.5,3.61,6.11,0.338,0.93,0.411418207246,4.114182,61.67870207349,0.616787
slurm-batch4671-seed5-8465,5,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,44,37,37,0,11,0.44,0.168,0.998,2.49,3.63,6.12,0.362,0.89,0.393240149945,3.932401,56.35147864825,0.563515
slurm-batch4672-seed1-9043,1,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,50,43,43,0,8,0.5,0.175,0.888,2.81,3.63,6.44,0.415,0.91,0.453731786586,4.537318,82.514108110985,0.825141
slurm-batch4672-seed2-9044,2,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,48,40,40,0,10,0.48,0.161,0.87,2.66,3.53,6.19,0.39,0.88,0.448179743208,4.481797,79.108111482026,0.791081
slurm-batch4672-seed3-9045,3,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,47,45,45,0,6,0.47,0.179,0.891,2.73,3.61,6.34,0.435,0.92,0.434151725034,4.341517,73.747640395071,0.737476
slurm-batch4672-seed4-9046,4,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,42,43,43,0,3,0.42,0.135,0.916,2.81,3.96,6.77,0.415,0.93,0.451417751683,4.514178,83.48559488772,0.834856
slurm-batch4672-seed5-9047,5,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,51,46,46,0,8,0.51,0.182,0.902,3.08,3.35,6.43,0.432,0.89,0.192128547309,1.921285,84.304702488288,0.843047
slurm-batch2856-seed1-2865,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,28,13,13,0,15,0.28,0.128,0.962,3.39,3.5,6.89,0.132,0.85,0.652741609243,6.527416,215.027488846161,2.150275
slurm-batch2856-seed2-2866,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,24,9,9,0,16,0.24,0.114,0.946,3.65,3.28,6.93,0.099,0.85,0.760540843829,7.605408,229.530462286739,2.295305
slurm-batch2856-seed3-2867,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,29,14,14,0,15,0.29,0.134,0.983,3.6,3.28,6.88,0.131,0.85,0.779624803033,7.796248,231.196729335093,2.311967
slurm-batch2856-seed4-2868,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,25,13,13,0,15,0.25,0.113,0.954,3.41,3.15,6.56,0.122,0.84,0.382639817825,3.826398,119.883332919547,1.198833
slurm-batch2856-seed5-2869,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,24,9,9,0,15,0.24,0.141,0.967,3.55,3.06,6.61,0.096,0.85,0.403745908511,4.037459,57.856958263672,0.57857
