run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch6339-seed1-6348,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,23,18,17,1,0,3,0.23,0.144,0.981,4.08,2.66,6.74,0.227,0.999,0.93,0.21580327563,2.158033,96.032457654756,0.960325
slurm-batch6339-seed2-6349,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,15,7,7,0,0,4,0.15,0.079,0.994,3.5,2.63,6.13,0.191,1.0,0.92,0.216417842453,2.164178,96.305939891908,0.963059
slurm-batch6339-seed3-6350,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,20,12,12,0,0,6,0.2,0.11,0.985,3.72,3.18,6.9,0.185,0.996,0.9,0.667843469764,6.678435,297.190344042971,2.971903
slurm-batch6339-seed4-6351,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,17,9,9,0,0,5,0.17,0.086,0.985,3.61,3.19,6.8,0.208,0.993,0.92,0.725686906597,7.256869,322.930673434136,3.229307
slurm-batch6339-seed5-6352,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-3.3-2b-instruct,100,23,12,11,1,0,5,0.23,0.127,0.986,3.52,2.62,6.14,0.217,0.989,0.87,0.376427554412,3.764276,167.510261714021,1.675103
slurm-batch6340-seed1-6536,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,19,15,15,0,0,3,0.19,0.102,0.977,3.74,3.17,6.91,0.215,1.0,0.96,0.249724633983,2.497246,111.127462120079,1.111275
slurm-batch6340-seed2-6537,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,16,14,14,0,0,1,0.16,0.087,0.975,3.93,3.64,7.57,0.233,1.0,0.98,0.408142488428,4.081425,181.623407349828,1.816234
slurm-batch6340-seed3-6538,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,17,12,12,0,0,5,0.17,0.087,0.976,3.74,3.47,7.21,0.208,0.994,0.95,0.686382113716,6.863821,305.440040603039,3.0544
slurm-batch6340-seed4-6539,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,15,10,10,0,0,3,0.15,0.065,0.96,3.63,3.28,6.91,0.192,0.999,0.95,0.238068900188,2.380689,105.940660583067,1.059407
slurm-batch6340-seed5-6540,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-3b,100,18,12,12,0,0,4,0.18,0.084,0.961,3.55,3.33,6.88,0.197,1.0,0.94,0.738332247301,7.383322,328.557850049598,3.285579
slurm-batch6341-r1-seed2-7708,2,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,20,13,13,0,0,4,0.2,0.09,0.903,3.55,3.41,6.96,0.219,1.0,0.93,0.742634417833,7.426344,106.419823981821,1.064198
slurm-batch6341-r1-seed5-7709,5,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,26,17,17,0,0,6,0.26,0.121,0.912,3.88,3.31,7.19,0.236,1.0,0.91,0.752230126095,7.522301,112.642994565773,1.12643
slurm-batch6341-seed1-6848,1,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,17,11,11,0,0,1,0.17,0.092,0.918,3.56,2.89,6.45,0.211,1.0,0.94,0.730861816452,7.308618,325.23350832274,3.252335
slurm-batch6341-seed3-6850,3,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,18,12,12,0,0,5,0.18,0.091,0.915,3.46,3.36,6.82,0.232,1.0,0.94,0.811863272364,8.118633,295.642648620328,2.956426
slurm-batch6341-seed4-6851,4,tool,ibm-granite/granite-3.3-2b-instruct,ibm-granite/granite-4.1-8b,100,15,7,7,0,0,4,0.15,0.062,0.913,3.28,3.48,6.76,0.164,1.0,0.92,0.781084946476,7.810849,168.742727206081,1.687427
slurm-batch8699-seed1-8705,1,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,45,19,19,0,0,15,0.45,0.165,0.924,2.95,4.6,7.55,0.435,0.999,0.74,0.515806831534,5.158068,229.534040033287,2.29534
slurm-batch8699-seed2-8706,2,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,47,17,17,0,0,22,0.47,0.183,0.956,2.91,4.45,7.36,0.451,1.0,0.68,0.386099109395,3.860991,171.814103681072,1.718141
slurm-batch8699-seed3-8707,3,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,45,21,21,0,0,16,0.45,0.188,0.924,2.98,4.5,7.48,0.477,1.0,0.76,0.158761328129,1.587613,70.648791015893,0.706488
slurm-batch8699-seed4-8708,4,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,38,19,19,0,0,8,0.38,0.171,0.947,3.12,4.58,7.7,0.452,1.0,0.81,0.180383655361,1.803837,80.270726636802,0.802707
slurm-batch8699-seed5-8709,5,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-3.3-2b-instruct,100,45,18,18,0,0,19,0.45,0.174,0.927,2.88,4.5,7.38,0.415,1.0,0.73,0.399348085477,3.993481,177.709898036335,1.777099
slurm-batch8700-seed1-8905,1,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,45,21,20,1,0,10,0.45,0.164,0.958,2.77,4.53,7.3,0.481,1.0,0.76,0.510503956119,5.10504,139.503782248881,1.395038
slurm-batch8700-seed2-8906,2,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,46,24,23,1,0,13,0.46,0.166,0.963,2.73,4.41,7.14,0.518,0.999,0.78,0.146906888941,1.469069,65.373565577963,0.653736
slurm-batch8700-seed3-8907,3,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,40,26,25,1,0,5,0.4,0.184,0.955,2.8,4.36,7.16,0.532,1.0,0.86,0.131166910162,1.311669,58.369275022794,0.583693
slurm-batch8700-seed4-8908,4,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,49,25,24,1,0,10,0.49,0.166,0.947,2.68,4.52,7.2,0.514,1.0,0.76,0.324440231764,3.244402,103.362437322889,1.033624
slurm-batch8700-seed5-8909,5,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-3b,100,42,26,25,1,0,12,0.42,0.16,0.945,2.91,4.53,7.44,0.524,1.0,0.84,0.160057005656,1.60057,41.01738402181,0.410174
slurm-batch8701-r1-seed3-9027,3,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,48,22,22,0,0,14,0.48,0.188,0.923,2.64,4.37,7.01,0.493,1.0,0.74,0.178609102988,1.786091,25.594759474397,0.255948
slurm-batch8701-seed1-8973,1,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,46,22,22,0,0,12,0.46,0.162,0.899,2.68,4.43,7.11,0.494,1.0,0.76,0.187692129419,1.876921,26.896360976222,0.268964
slurm-batch8701-seed2-8974,2,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,49,27,27,0,0,15,0.49,0.182,0.896,2.66,4.51,7.17,0.499,1.0,0.78,0.509717480265,5.097175,73.042729003327,0.730427
slurm-batch8701-seed4-8976,4,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,40,19,19,0,0,16,0.4,0.146,0.894,2.57,4.53,7.1,0.448,1.0,0.79,0.388547005709,3.88547,55.678949107959,0.556789
slurm-batch8701-seed5-8977,5,tool,ibm-granite/granite-4.1-3b,ibm-granite/granite-4.1-8b,100,42,13,12,1,0,19,0.42,0.171,0.891,2.51,4.39,6.9,0.436,1.0,0.71,0.186424420249,1.864244,26.714697720229,0.267147
slurm-batch8702-seed1-9040,1,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,55,43,43,0,0,3,0.55,0.238,0.859,3.36,4.06,7.42,0.551,1.0,0.88,0.174321215362,1.743212,77.062058368285,0.770621
slurm-batch8702-seed2-9041,2,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,54,45,45,0,0,4,0.54,0.254,0.887,3.37,4.07,7.44,0.582,1.0,0.91,0.481744441903,4.817444,209.472200430103,2.094722
slurm-batch8702-seed3-9042,3,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,50,41,41,0,0,6,0.5,0.245,0.873,3.33,3.95,7.28,0.547,1.0,0.91,0.255213191506,2.552132,108.615350648025,1.086154
slurm-batch8702-seed4-9043,4,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,60,45,44,1,0,4,0.6,0.271,0.902,3.22,4.03,7.25,0.555,1.0,0.85,0.193044435633,1.930444,85.904773859562,0.859048
slurm-batch8702-seed5-9044,5,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-3.3-2b-instruct,100,53,45,45,0,0,2,0.53,0.231,0.866,3.38,4.26,7.64,0.573,1.0,0.9,0.311703435859,3.117034,138.708028958817,1.38708
slurm-batch8703-r1-seed5-9177,5,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,55,51,51,0,0,1,0.55,0.263,0.948,3.2,3.67,6.87,0.613,1.0,0.96,0.461711845558,4.617118,205.46177127194,2.054618
slurm-batch8703-seed1-9086,1,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,65,62,61,1,0,0,0.65,0.332,0.943,3.59,3.49,7.08,0.689,1.0,0.97,0.391933668092,3.919337,174.410482303,1.744105
slurm-batch8703-seed2-9087,2,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,62,53,52,1,0,2,0.62,0.286,0.949,3.31,3.81,7.12,0.612,1.0,0.91,0.163909850438,1.639099,72.939883442641,0.729399
slurm-batch8703-seed3-9088,3,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,63,59,59,0,0,2,0.63,0.276,0.922,3.56,3.9,7.46,0.664,1.0,0.96,0.170470530592,1.704705,75.859386115486,0.758594
slurm-batch8703-seed4-9089,4,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-3b,100,59,51,50,1,0,2,0.59,0.292,0.929,3.37,3.75,7.12,0.644,0.999,0.88,0.232199584405,2.321996,103.328815061466,1.033288
slurm-batch8704-seed1-9235,1,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,60,55,54,1,0,1,0.6,0.298,0.845,3.19,3.51,6.7,0.612,1.0,0.95,0.460406369328,4.604064,204.880834352392,2.048808
slurm-batch8704-seed2-9236,2,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,57,55,54,1,0,0,0.57,0.27,0.869,3.2,3.65,6.85,0.631,1.0,0.96,0.412217186634,4.122172,183.43664805001,1.834366
slurm-batch8704-seed3-9237,3,tool,ibm-granite/granite-4.1-8b,ibm-granite/granite-4.1-8b,100,60,55,53,2,0,0,0.6,0.293,0.864,3.2,3.59,6.79,0.636,0.997,0.95,0.254617018098,2.54617,113.304573053812,1.133046
