run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch2548-seed1-2717,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,32,28,28,0,9,0.32,0.037,0.998,3.33,2.71,6.04,0.267,0.86,0.285217988483,2.85218,126.922004873029,1.26922
slurm-batch2548-seed2-2718,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,30,28,28,0,6,0.3,0.041,1.0,3.33,2.91,6.24,0.282,0.9,0.299209477878,2.992095,133.148217655644,1.331482
slurm-batch2548-seed3-2719,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,24,25,25,0,6,0.24,0.035,1.0,3.25,2.8,6.05,0.244,0.87,0.222101311995,2.221013,98.835083837355,0.988351
slurm-batch2548-seed4-2720,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,28,21,21,0,10,0.28,0.027,1.0,3.01,2.53,5.54,0.224,0.87,0.295701145023,2.957011,131.587009536451,1.31587
slurm-batch2548-seed5-2721,5,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,32,26,26,0,8,0.32,0.054,1.0,3.2,2.59,5.79,0.262,0.92,0.190104409633,1.901044,84.596462285495,0.845965
slurm-batch2546-seed1-2616,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,95,3,3,0,92,0.95,0.35,1.0,1.45,1.67,3.12,0.049,0.08,0.158817201428,1.588172,70.673654637101,0.706737
slurm-batch2546-seed2-2617,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,90,4,4,0,86,0.9,0.344,0.999,1.47,1.7,3.17,0.05,0.14,0.138929701473,1.389297,61.823717153225,0.618237
slurm-batch2546-seed3-2618,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,94,3,3,0,91,0.94,0.336,0.999,1.57,1.71,3.28,0.049,0.09,0.148559707228,1.485597,66.109069717874,0.661091
slurm-batch2546-seed4-2619,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,94,5,5,0,89,0.94,0.365,0.999,1.48,1.62,3.1,0.062,0.11,0.106312303866,1.063123,47.308975219395,0.47309
slurm-batch2546-seed5-2620,5,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,96,4,4,0,92,0.96,0.341,0.991,1.55,1.61,3.16,0.058,0.08,0.104370538485,1.043705,46.444889625086,0.464449
slurm-batch2547-seed1-2643,1,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,79,16,16,0,64,0.79,0.18,1.0,2.96,2.68,5.64,0.169,0.37,0.253155518854,2.531555,112.654205889947,1.126542
slurm-batch2547-seed2-2644,2,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,65,20,20,0,46,0.65,0.154,1.0,3.2,2.89,6.09,0.231,0.53,0.239007285624,2.390073,106.358242103161,1.063582
slurm-batch2547-seed3-2645,3,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,73,18,18,0,57,0.73,0.183,0.999,2.97,2.63,5.6,0.205,0.43,0.238220543402,2.382205,106.008141812383,1.060081
slurm-batch2547-seed4-2646,4,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,74,20,20,0,57,0.74,0.182,1.0,2.89,2.66,5.55,0.191,0.42,0.170785039765,1.70785,75.999342698264,0.759993
slurm-batch2547-seed5-2647,5,tool,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,74,20,20,0,56,0.74,0.181,1.0,3.07,2.75,5.82,0.214,0.44,0.197799591244,1.977996,88.020818101431,0.880208
slurm-batch2542-seed1-2572,1,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,0,0,0,0,0,0.0,0.0,0.998,0.0,0.0,0.0,0.002,1.0,0.073161496038,0.731615,32.556865738581,0.325569
slurm-batch2542-seed2-2573,2,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,1,0,0,0,1,0.01,0.001,1.0,0.0,0.0,0.0,0.011,0.99,0.060244890307,0.602449,26.808976187841,0.26809
slurm-batch2542-seed3-2574,3,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.005,1.0,0.061043006303,0.61043,27.164137802543,0.271641
slurm-batch2542-seed4-2575,4,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.005,1.0,0.049861264275,0.498613,22.188262602366,0.221883
slurm-batch2542-seed5-2576,5,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.1-8B-Instruct,100,3,0,0,0,3,0.03,0.007,1.0,0.0,0.0,0.0,0.009,0.97,0.049538367039,0.495384,22.04457333399,0.220446
slurm-batch2540-seed1-2549,1,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,33,0,0,0,33,0.33,0.102,0.998,0.01,0.01,0.02,0.004,0.67,0.050229948267,0.502299,7.197972683061,0.07198
slurm-batch2540-seed2-2550,2,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,27,0,0,0,27,0.27,0.09,0.999,0.02,0.02,0.04,0.003,0.73,0.038987221404,0.389872,5.586885202066,0.055869
slurm-batch2540-seed3-2551,3,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,35,0,0,0,35,0.35,0.12,0.997,0.0,0.0,0.0,0.004,0.65,0.036978317015,0.369783,5.299008359168,0.05299
slurm-batch2540-seed4-2552,4,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,30,0,0,0,30,0.3,0.104,1.0,0.0,0.03,0.03,0.003,0.7,0.036689869329,0.366899,5.257673684225,0.052577
slurm-batch2540-seed5-2553,5,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,100,35,0,0,0,35,0.35,0.153,1.0,0.02,0.03,0.05,0.004,0.65,0.034559202543,0.345592,4.952348238943,0.049523
slurm-batch2541-seed1-2566,1,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,18,0,0,0,18,0.18,0.061,0.998,0.0,0.04,0.04,0.003,0.82,0.060196630059,0.601966,8.626202370078,0.086262
slurm-batch2541-seed2-2567,2,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,17,0,0,0,17,0.17,0.035,0.999,0.0,0.01,0.01,0.003,0.83,0.051493280207,0.514933,7.37900868104,0.07379
slurm-batch2541-seed3-2568,3,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,11,0,0,0,11,0.11,0.026,0.999,0.0,0.0,0.0,0.002,0.89,0.049496080597,0.494961,7.092809137885,0.070928
slurm-batch2541-seed4-2569,4,tool,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,100,21,0,0,0,21,0.21,0.071,1.0,0.0,0.0,0.0,0.017,0.79,0.041794450446,0.417945,5.989162301415,0.059892
