run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch2771-seed1-2775,1,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,35,39,39,0,11,0.35,0.076,0.998,4.2,2.64,6.84,0.393,0.76,0.332275625501,3.322756,147.862653348489,1.478627
slurm-batch2771-seed2-2776,2,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,34,39,39,0,12,0.34,0.049,0.999,4.22,2.79,7.01,0.386,0.71,0.321260373179,3.212604,142.960866065594,1.429609
slurm-batch2771-seed3-2777,3,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,29,26,26,0,11,0.29,0.058,0.999,4.12,2.78,6.9,0.34,0.81,0.303886114028,3.038861,134.016825366466,1.340168
slurm-batch2771-seed4-2778,4,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,40,34,34,0,11,0.4,0.074,0.997,3.82,2.3,6.12,0.377,0.84,0.170559223436,1.705592,75.898854428242,0.758989
slurm-batch2771-seed5-2779,5,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,46,42,42,0,20,0.46,0.068,0.997,4.09,2.6,6.69,0.417,0.66,0.181443631695,1.814436,80.742416104973,0.807424
slurm-batch2772-seed1-2788,1,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,29,45,45,0,2,0.29,0.052,1.0,4.0,2.6,6.6,0.43,0.8,0.353939665922,3.539397,157.503151335925,1.575032
slurm-batch2772-seed2-2789,2,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,31,39,39,0,5,0.31,0.057,1.0,3.89,2.51,6.4,0.402,0.82,0.311487854336,3.114879,138.61209518113,1.386121
slurm-batch2772-seed3-2790,3,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,30,41,41,0,6,0.3,0.06,1.0,4.12,2.34,6.46,0.408,0.77,0.302241235154,3.022412,134.497349642165,1.344973
slurm-batch2772-seed4-2791,4,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,37,45,45,0,6,0.37,0.076,0.998,3.94,2.44,6.38,0.428,0.8,0.182191228301,1.821912,81.075096592752,0.810751
slurm-batch2772-seed5-2792,5,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,34,38,38,0,8,0.34,0.06,1.0,4.06,2.53,6.59,0.414,0.8,0.187940230581,1.879402,83.63340260785,0.836334
