run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch9503-r2-seed4-9569,4,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,40,34,33,1,0,2,0.4,0.065,0.998,4.28,2.62,6.9,0.57,0.999,0.92,0.285926338415,2.859263,127.237220594802,1.272372
slurm-batch9503-r2-seed5-9570,5,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,49,36,35,1,0,5,0.49,0.098,1.0,3.98,2.47,6.45,0.561,1.0,0.87,0.264500648426,2.645006,117.702788549281,1.177028
slurm-batch9503-r3-seed1-9628,1,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,40,34,34,0,0,3,0.4,0.062,0.998,4.23,2.63,6.86,0.552,1.0,0.94,0.316799499129,3.167995,140.975777112606,1.409758
slurm-batch9503-r3-seed2-9629,2,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,41,31,31,0,0,5,0.41,0.071,1.0,4.28,2.54,6.82,0.544,1.0,0.9,0.306649649712,3.066496,136.459094122494,1.364591
slurm-batch9503-r3-seed3-9630,3,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,38,32,31,1,0,3,0.38,0.08,0.999,4.09,2.26,6.35,0.568,1.0,0.92,0.281579707039,2.815797,125.302969630827,1.25303
slurm-batch9504-seed1-9673,1,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,34,30,29,1,0,1,0.34,0.057,0.998,4.03,2.46,6.49,0.545,1.0,0.96,0.112067102017,1.120671,49.869860397169,0.498699
slurm-batch9504-seed2-9674,2,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,33,32,32,0,0,0,0.33,0.058,1.0,4.1,2.33,6.43,0.531,1.0,0.99,0.287248376014,2.872484,127.8255273262,1.278255
slurm-batch9504-seed3-9675,3,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,42,42,40,2,0,2,0.42,0.085,0.999,4.08,2.26,6.34,0.592,1.0,0.98,0.271465783073,2.714658,120.802273468588,1.208023
slurm-batch9504-seed4-9676,4,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,39,34,34,0,0,2,0.39,0.075,0.999,4.2,2.25,6.45,0.586,1.0,0.95,0.102918420567,1.029184,45.798697152009,0.457987
slurm-batch9504-seed5-9677,5,tool,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,39,38,38,0,0,0,0.39,0.078,0.999,4.06,2.24,6.3,0.575,1.0,0.99,0.282323308774,2.823233,125.633872406193,1.256339
slurm-batch9505-seed1-9765,1,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,29,24,24,0,0,1,0.29,0.039,1.0,2.61,2.59,5.2,0.524,0.999,0.95,0.19673463401,1.967346,84.367912074176,0.843679
slurm-batch9505-seed2-9766,2,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,23,19,19,0,0,2,0.23,0.037,1.0,2.6,2.38,4.98,0.496,0.999,0.96,0.185899542427,1.858995,70.841435132544,0.708414
slurm-batch9505-seed3-9767,3,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,19,19,19,0,0,1,0.19,0.029,1.0,2.61,2.55,5.16,0.494,0.999,0.96,0.177462409949,1.774624,25.430437880074,0.254304
slurm-batch9505-seed4-9768,4,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,22,21,21,0,0,1,0.22,0.036,0.998,2.59,2.81,5.4,0.486,1.0,0.97,0.177988114798,1.779881,25.505771605631,0.255058
slurm-batch9505-seed5-9769,5,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-3B-Instruct-2512-BF16,100,20,17,17,0,0,2,0.2,0.035,1.0,2.57,2.44,5.01,0.462,0.998,0.95,0.339928311055,3.399283,48.711869744098,0.487119
slurm-batch9506-seed1-9839,1,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,21,19,18,1,0,1,0.21,0.033,0.997,2.35,2.68,5.03,0.51,1.0,0.98,0.197194846041,1.971948,69.756028592777,0.69756
slurm-batch9506-seed2-9840,2,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,25,25,24,1,0,0,0.25,0.043,0.999,2.23,2.37,4.6,0.489,0.999,0.98,0.347536316112,3.475363,136.894891740566,1.368949
slurm-batch9506-seed3-9841,3,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,21,20,20,0,0,0,0.21,0.042,1.0,2.15,2.37,4.52,0.494,1.0,0.99,0.346587849812,3.465878,135.932539825471,1.359325
slurm-batch9506-seed4-9842,4,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,17,15,14,1,0,0,0.17,0.023,1.0,2.35,2.51,4.86,0.484,1.0,0.98,0.367211416814,3.672114,144.188607738343,1.441886
slurm-batch9506-seed5-9843,5,tool,mistralai/Ministral-3-8B-Instruct-2512-BF16,mistralai/Ministral-3-8B-Instruct-2512-BF16,100,23,22,22,0,0,0,0.23,0.041,1.0,2.32,2.54,4.86,0.504,1.0,0.99,0.350331159926,3.503312,140.413718511195,1.404137
