run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch9049-seed1-3636,1,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9049-seed10-3645,10,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9049-seed2-3637,2,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,,
slurm-batch9049-seed3-3638,3,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9049-seed4-3639,4,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9049-seed5-3640,5,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9049-seed6-3641,6,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,,
slurm-batch9049-seed7-3642,7,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,,
slurm-batch9049-seed8-3643,8,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9049-seed9-3644,9,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-2bit,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.537,0.05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9048-seed1-3595,1,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-4bit,9,0,0,0,0,0,0,0,0.0,0.0,0.994,0.537,0.05,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9048-seed10-3604,10,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-4bit,9,0,0,0,0,0,0,0,0.0,0.0,0.989,0.537,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9048-seed2-3596,2,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-4bit,9,0,0,0,0,0,0,0,0.0,0.0,0.989,0.537,0.05,0.154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
slurm-batch9048-seed3-3597,3,tool,quantized_models/Qwen3-8B-2bit,quantized_models/Qwen3-8B-4bit,9,0,0,0,0,0,0,0,0.0,0.0,0.989,0.537,0.05,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,
