run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,num_verified_wins,num_high_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,verified_layer1_agreement,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g
slurm-batch1444-r1-seed3-1467,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,67,58,58,0,13,0.67,0.41,1.0,4.2,1.96,6.16,0.598,0.85,0.110675921078,1.106759,15.859905975061,0.158599
slurm-batch1444-r1-seed4-1468,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,73,60,60,0,16,0.73,0.453,1.0,4.04,1.52,5.56,0.62,0.81,0.092786284614,0.927863,13.296313555536,0.132963
slurm-batch1444-r2-seed5-1483,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,67,62,62,0,12,0.67,0.425,1.0,4.2,2.02,6.22,0.615,0.83,0.112058892092,1.120589,16.058086301105,0.160581
slurm-batch1444-seed1-1460,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,70,56,56,0,20,0.7,0.434,1.0,4.17,1.68,5.85,0.586,0.74,0.099696611128,0.996966,14.286566247374,0.142866
slurm-batch1444-seed2-1461,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,65,56,56,0,13,0.65,0.401,0.998,4.01,1.73,5.74,0.575,0.83,0.075830563842,0.758306,10.866551647267,0.108666
slurm-batch1446-r1-seed3-1561,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,61,70,70,0,2,0.61,0.381,0.983,4.21,2.18,6.39,0.684,0.87,0.147655507318,1.476555,65.706700755229,0.657067
slurm-batch1446-r1-seed4-1562,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,54,56,56,0,5,0.54,0.334,0.964,4.14,2.29,6.43,0.565,0.88,0.143788814396,1.437888,63.986022407714,0.63986
slurm-batch1446-r2-seed5-1577,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,59,62,62,0,5,0.59,0.369,0.966,4.16,2.1,6.26,0.633,0.87,0.142986442806,1.429864,51.930601877973,0.519306
slurm-batch1446-seed1-1555,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,60,68,68,0,6,0.6,0.357,0.99,4.46,2.67,7.13,0.677,0.8,0.164818459698,1.648185,73.344214568147,0.733442
slurm-batch1446-seed2-1556,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,65,68,68,0,6,0.65,0.416,0.98,4.35,2.25,6.6,0.683,0.85,0.131560740808,1.315607,58.544529659404,0.585445
slurm-batch1445-r1-seed3-1518,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,74,70,70,0,6,0.74,0.455,1.0,4.53,1.81,6.34,0.698,0.92,0.16350105734,1.635011,72.757970515088,0.72758
slurm-batch1445-r1-seed4-1519,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,73,71,71,0,5,0.73,0.463,1.0,4.24,1.91,6.15,0.702,0.94,0.155014247184,1.550142,68.981339998115,0.689813
slurm-batch1445-r2-seed5-1534,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,72,71,71,0,8,0.72,0.435,1.0,4.41,2.0,6.41,0.71,0.87,0.173813802189,1.738138,77.347141972861,0.773471
slurm-batch1445-seed1-1495,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,59,54,54,0,8,0.59,0.375,1.0,4.23,2.26,6.49,0.569,0.89,0.20210992448,2.021099,65.927225396979,0.659272
slurm-batch1445-seed2-1496,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,75,66,66,0,12,0.75,0.445,1.0,4.45,2.05,6.5,0.671,0.87,0.161176762181,1.611768,48.812177940332,0.488122
