run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch4401-seed1-4418,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,87,87,68,64,4,0,5,0.87,0.55,0.999,0.646,0.786,0.639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.94,0.23,4.17,0.799,0.999,0.79,0.248,0.0,,0.0,,
slurm-batch4401-seed2-4845,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,82,82,64,61,3,0,4,0.82,0.51,0.998,0.65,0.786,0.637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.87,0.39,4.26,0.796,0.998,0.8,0.253,0.0,,0.0,,
slurm-batch4401-seed3-5984,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,85,85,65,64,1,0,5,0.85,0.52,1.0,0.646,0.776,0.626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.89,0.27,4.16,0.781,1.0,0.78,0.2512,0.0,,0.0,,
slurm-batch4401-seed4-6083,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,85,85,63,59,4,0,4,0.85,0.517,0.998,0.652,0.786,0.647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.85,0.34,4.19,0.783,0.999,0.76,0.2463,0.0,,0.0,,
slurm-batch4401-seed5-6675,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,100,84,84,68,66,2,0,4,0.84,0.494,1.0,0.649,0.765,0.642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.86,0.3,4.16,0.809,0.998,0.8,0.2485,0.0,,0.0,,
slurm-batch4403-seed1-8113,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,75,75,76,75,1,0,0,0.75,0.426,1.0,0.654,0.728,0.548,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.15,0.51,4.66,0.857,0.997,0.99,0.2535,0.0,,0.0,,
slurm-batch4403-seed2-8158,2,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,72,72,75,74,1,0,0,0.72,0.426,0.999,0.656,0.731,0.572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.39,0.51,4.9,0.876,0.992,0.95,0.251,0.0,,0.0,,
slurm-batch4403-seed3-8160,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,75,75,74,73,1,0,0,0.75,0.425,0.999,0.652,0.709,0.549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,0.53,4.73,0.86,0.999,0.99,0.2473,0.0,,0.0,,
slurm-batch4403-seed4-8163,4,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,74,74,73,72,1,0,0,0.74,0.431,1.0,0.653,0.719,0.552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.15,0.47,4.62,0.845,1.0,0.99,0.2479,0.0,,0.0,,
slurm-batch4403-seed5-8165,5,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3-8B,100,70,70,70,69,1,0,0,0.7,0.407,0.996,0.655,0.706,0.574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.15,0.52,4.67,0.836,0.995,1.0,0.2465,0.0,,0.0,,
slurm-batch4402-seed1-6695,1,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,73,73,69,68,1,0,0,0.73,0.428,1.0,0.65,0.724,0.573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.11,0.42,4.53,0.805,0.997,0.96,0.2508,0.0,,0.0,,
slurm-batch4402-seed3-7209,3,tool,Qwen/Qwen3-1.7B,Qwen/Qwen3.5-4B,100,70,70,70,69,1,0,1,0.7,0.403,1.0,0.653,0.712,0.599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.27,0.55,4.82,0.828,0.996,0.96,0.2489,0.0,,0.0,,
